GeoFIPS,GeoName,Region,Year,Personal income (thousands of dollars),Population (persons) 2/,Per capita personal income (dollars),Earnings by place of work,Less: Contributions for government social insurance 3/,Employee and self-employed contributions for government social insurance,Employer contributions for government social insurance,Plus: Adjustment for residence 4/,Equals: Net earnings by place of residence,"Plus: Dividends, interest, and rent 5/",Plus: Personal current transfer receipts,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 6/,Proprietors' income 7/,Farm proprietors' income,Nonfarm proprietors' income,Farm earnings,Nonfarm earnings,Private nonfarm earnings,"Forestry, fishing, and related activities",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Mining (except oil and gas),Support activities for mining,Utilities,Construction,Construction of buildings,Heavy and civil engineering construction,Specialty trade contractors,Manufacturing,Durable goods manufacturing,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing",Other transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods manufacturing,Food manufacturing,Beverage and tobacco product manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Paper manufacturing,Printing and related support activities,Petroleum and coal products manufacturing,Chemical manufacturing,Plastics and rubber products manufacturing,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Furniture and home furnishings stores,Electronics and appliance stores,Building material and garden equipment and supplies dealers,Food and beverage stores,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Miscellaneous store retailers,Nonstore retailers,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation,Support activities for transportation,Couriers and messengers,Warehousing and storage,Information,Publishing industries (except Internet),Motion picture and sound recording industries,Broadcasting (except Internet),Internet publishing and broadcasting 8/,Telecommunications,"Data processing, hosting, and related services",Other information services 8/,Finance and insurance,Monetary Authorities-central bank,Credit intermediation and related activities,"Securities, commodity contracts, and other financial investments and related activities",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services,Lessors of nonfinancial intangible assets (except copyrighted works),"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Administrative and support services,Waste management and remediation services,Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, and recreation","Performing arts, spectator sports, and related industries","Museums, historical sites, and similar institutions","Amusement, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,Other services (except government and government enterprises),Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Government and government enterprises,Federal civilian,Military,State and local,State government,Local government
01073,"Jefferson, AL",5,2016,32571200,659521,49386,27538598,3125868,1729641,1396227,-4266166,20146564,6523953,5900683,19609219,4409053,3012826,3520326,2153,3518173,3060,27535538,23140231,4305,(D),(L),(D),99398,(D),43879,(D),712499,1833875,619189,242549,972137,1847026,1301271,8778,61324,490678,253013,105351,25583,64466,(D),(D),33385,122239,545755,126909,132981,(D),2615,1093,(D),(D),75844,65122,46024,84274,1819478,1407283,334852,44566,63022,111695,155290,139083,62335,99453,54363,247331,66065,29228,869858,19182,142776,(D),390128,24963,(D),(D),54319,(D),115171,542207,105866,17330,70125,(NA),322873,23960,2053,2490450,(D),1105902,339064,1037939,(D),505397,384189,116754,4454,2502224,808983,889849,826193,63656,291451,4648204,2746202,1444306,240688,217008,136900,43097,15587,78216,761422,108244,653178,969422,350487,221250,369135,28550,4395307,853112,131839,3410356,1691906,1718450
06019,"Fresno, CA",8,2016,39295335,979915,40101,25752788,2660276,1403381,1256895,-173532,22918980,6778993,9597362,17025205,5107632,3850737,3619951,980468,2639483,1462560,24290228,18408972,1341099,24942,-113,1316270,51160,(D),21282,(D),374351,1432452,368180,187463,876809,1626799,558011,46799,56277,(D),114630,145758,69498,4211,(D),2898,17009,55429,1068788,692212,136873,(D),4256,(D),(D),71368,31864,(D),69914,39823,1207751,1769473,349697,49204,83333,117635,349067,149850,116751,87020,37470,259624,104815,65007,917101,49934,(D),80,473442,64286,6072,(D),118071,(D),74607,403775,29984,8327,224208,(NA),122224,(D),(D),878536,0,299813,66213,509158,3352,455076,385508,(D),(D),1058840,187373,870551,792156,78395,174716,3684575,1715984,1136265,323621,508705,125639,43837,8503,73299,771874,68199,703675,1077831,368817,311276,342731,55007,5881256,888957,66925,4925374,1085116,3840258
06027,"Inyo, CA",8,2016,1001021,18144,55171,694872,59813,37933,21880,-33637,601422,182638,216961,345905,134037,112157,214930,1575,213355,2840,692032,441530,(D),235,(D),1203,(D),(D),(D),(D),30941,30896,8503,4708,17685,143952,2828,(D),409,(L),(D),(D),(D),(L),(L),(L),(D),(D),141124,43080,73541,411,452,19527,(L),699,(D),407,970,(D),7891,45970,5999,1248,(D),5688,10529,3278,5141,713,2935,(D),3097,4114,6756,(L),0,0,948,65,(L),(D),(D),5589,(L),11626,(D),(D),(D),(NA),(D),(L),(L),5712,0,2957,(D),(D),(L),5542,4886,652,(L),13359,(D),(D),6631,(D),1530,32098,21032,438,(D),(D),4289,(D),(D),3238,49386,27422,21964,25270,9309,6539,7641,1781,250502,26745,816,222941,29968,192973
06029,"Kern, CA",8,2016,33368619,884788,37714,23614494,2343529,1244381,1099148,-39385,21231580,5257890,6879149,15464160,4706198,3607050,3444136,1009884,2434252,1648447,21966047,15874027,1455304,(D),(D),1443281,1601328,1102376,89009,409943,188701,1282338,226096,345861,710381,1117117,413141,4246,62335,4361,84752,56133,80095,(D),(D),(D),13656,24814,703976,350477,18503,(D),1600,(D),(D),(D),7727,223632,65575,32605,777631,1585305,291397,41110,50683,102983,293565,128970,173622,80909,28506,228066,106236,59258,871684,12074,48796,(D),445918,47674,48435,(D),136312,(D),83382,176909,26371,5372,74813,(NA),69457,(D),(D),477651,0,166882,35817,270231,4721,329890,242152,87456,282,952174,345102,818851,675128,143723,66803,2052919,1016950,651551,155133,229285,87084,27025,1850,58209,601530,66927,534603,1085706,442396,353010,245167,45133,6092020,1252573,304480,4534967,928609,3606358
06037,"Los Angeles, CA",8,2016,563907868,10137915,55624,413855996,42999907,23538439,19461468,-23206730,347649359,119556711,96701798,283662400,67234726,47773258,62958870,-4152,62963022,129009,413726987,351017344,105222,6708,3915,94599,1254463,1076252,11489,166722,2018952,14609795,4289327,1479067,8841401,32500170,21242965,159588,398966,449446,3217291,1331553,6649830,908632,571852,4849018,841267,1865522,11257205,2686344,662880,263173,245990,1966708,94880,578345,901442,1103006,1925020,829417,20785393,23127358,3654280,784866,1064561,1218565,4291835,1888186,1598689,2152828,564335,2431150,1864091,1613972,16404641,2972967,343658,315703,4118024,1177773,97345,40215,4680521,1511609,1146826,37954672,3038291,17513145,11567885,(NA),2920826,1032312,1882213,22027614,(D),7039820,7026555,7718974,(D),17601625,15923317,1545861,132447,44715693,7558869,16389364,15611905,777459,8343082,40609257,18775928,11125982,3827426,6879921,14318105,12149933,309667,1858505,14313178,2533755,11779423,16379891,4903653,5582600,4334145,1559493,62709643,5608208,751964,56349471,8924337,47425134
06039,"Madera, CA",8,2016,5805622,154697,37529,3887352,336863,184863,152000,44931,3595420,952034,1258168,2114321,681787,529787,1091244,695685,395559,813584,3073768,2217425,(D),(D),(L),344189,(D),0,(D),(D),41234,173479,47210,19467,106802,270995,158001,(D),64082,(D),12971,52316,(D),(D),6284,(D),4391,2858,112994,42115,22709,53,58,(D),(L),(D),2212,179,(D),22794,71135,180235,27404,3050,5007,20097,46384,15273,17525,6508,4806,14694,10953,8534,85639,2004,(L),(L),52179,8813,110,(D),15478,(D),(D),32530,1689,(D),(D),(NA),26983,(L),(D),35617,0,15432,(D),18624,(D),42992,38996,(D),(D),50659,27657,70096,61669,8427,3620,533759,142705,(D),(D),49832,9582,2151,288,7143,89144,20227,68917,140393,53014,33340,36208,17831,856343,26439,6779,823125,248314,574811
06059,"Orange, CA",8,2016,196920661,3172532,62071,143642023,15507207,8228395,7278812,1969900,130104716,44659931,22156014,102237915,22769024,15490212,18635084,-8482,18643566,35750,143606273,127632509,42096,(D),(D),41425,155229,125265,3602,26362,662483,10767164,2940344,1280324,6546496,15219339,11833392,81316,94281,104389,1680495,879971,4462204,423621,180300,1514733,286444,2125638,3385947,472660,289590,37000,82315,357009,12379,252939,500224,54422,756773,570636,10260756,8125524,1488075,302088,416291,543738,1395221,704976,483325,539069,204256,1014797,540317,493371,1997733,96594,(D),35506,552702,219895,(D),14659,337502,(D),319389,3682284,1381132,141152,493927,(NA),921065,315952,429056,11716280,(D),5115957,2377310,4029532,(D),7228873,6652424,496759,79690,17958633,3998876,8320180,7992882,327298,1589207,12730116,7441820,2674375,1288269,1325652,2373329,711242,29049,1633038,5797161,1336888,4460273,5007246,1899268,1578221,1204964,324793,15973764,1256333,182535,14534896,3100969,11433927
06065,"Riverside, CA",8,2016,87827068,2387741,36782,48245272,5232098,2880989,2351109,12967784,55980958,14305157,17540953,32651717,9509069,7157960,6084486,122683,5961803,312413,47932859,35929071,232600,(D),(L),(D),143099,107182,15149,20768,202757,5142234,1072925,845619,3223690,3072213,2101920,120477,168326,80904,477232,215099,250212,74533,(D),(D),105622,375486,970293,186405,148238,(D),20790,19250,(D),67915,55661,31372,182925,256784,2019118,4060673,807395,142537,119919,346779,800114,297013,236380,273943,74316,605742,224440,132095,2489673,49946,101472,(L),833888,138493,7651,2607,237684,110191,1007704,606559,52931,49086,177419,(NA),264422,40759,21942,1147737,0,512575,107338,522510,5314,997692,819523,176173,1996,1940266,283294,2375084,2248950,126134,369400,5337082,2619154,1480934,571111,665883,547897,136709,25862,385326,2312581,529188,1783393,2649112,938297,846239,665542,199034,12003788,803913,144251,11055624,1237510,9818114
06067,"Sacramento, CA",8,2016,72878458,1514460,48122,57172654,5564468,2961142,2603326,-5705035,45903151,12055171,14920136,40009700,12301682,9698356,4861272,28387,4832885,81343,57091311,36379442,48799,244,(D),(D),28835,(D),(D),6544,325419,3364249,771727,369452,2223070,1946821,1350670,76720,56511,1696,151839,69143,370645,70836,19819,292099,51091,190271,596151,183563,63566,(D),4695,976,(D),69746,78596,(D),128881,37963,1478924,3005940,609388,85078,147501,234635,579473,195977,167546,150412,73936,457964,202286,101744,1205188,75139,31535,(L),501816,153453,(D),(D),181610,159162,97826,851621,132390,20955,185945,(NA),351781,134733,25817,2867316,0,659333,363994,1841198,2791,895683,798083,95516,2084,5502886,986195,2518805,2402399,116406,532199,6676068,3527936,1752575,482317,913240,386206,189442,15307,181457,1550678,193718,1356960,2207610,648262,631216,824666,103466,20711869,1162502,162319,19387048,13215963,6171085
06071,"San Bernardino, CA",8,2016,78830801,2140096,36835,51149863,5632946,2977075,2655871,4050637,49567554,12141980,17121267,35711971,10320315,7664444,5117577,23172,5094405,72543,51077320,38577512,20432,1310,(L),19126,55332,(D),44930,(D),548907,3333340,739662,497492,2096186,4054586,2578652,99721,335161,287886,544712,287240,120513,152410,(D),(D),189542,207028,1475934,438570,111171,(D),16489,8624,6026,128307,85157,(D),248893,396047,3167556,3860375,831620,109738,122360,268832,664168,279248,247249,244106,90837,634434,197837,169946,4564883,65362,(D),(D),1796555,203302,31423,(D),391560,546049,1234684,545912,65066,31577,198879,(NA),236890,11011,2489,1348784,(D),740759,55892,548255,(D),824679,668724,(D),(D),1904326,581745,2392124,2258452,133672,614957,6403340,3152832,1982001,534525,733982,292447,99299,4783,188365,1710868,177197,1533671,2352919,929838,699336,591687,132058,12499808,1363444,1508318,9628046,1303120,8324926
