GeoFIPS,GeoName,Region,Year,Personal income (thousands of dollars),Population (persons) 2/,Per capita personal income (dollars),Earnings by place of work,Less: Contributions for government social insurance 3/,Employee and self-employed contributions for government social insurance,Employer contributions for government social insurance,Plus: Adjustment for residence 4/,Equals: Net earnings by place of residence,"Plus: Dividends, interest, and rent 5/",Plus: Personal current transfer receipts,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 6/,Proprietors' income 7/,Farm proprietors' income,Nonfarm proprietors' income,Farm earnings,Nonfarm earnings,Private nonfarm earnings,"Forestry, fishing, and related activities",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Mining (except oil and gas),Support activities for mining,Utilities,Construction,Construction of buildings,Heavy and civil engineering construction,Specialty trade contractors,Manufacturing,Durable goods manufacturing,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing",Other transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods manufacturing,Food manufacturing,Beverage and tobacco product manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Paper manufacturing,Printing and related support activities,Petroleum and coal products manufacturing,Chemical manufacturing,Plastics and rubber products manufacturing,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Furniture and home furnishings stores,Electronics and appliance stores,Building material and garden equipment and supplies dealers,Food and beverage stores,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Miscellaneous store retailers,Nonstore retailers,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation,Support activities for transportation,Couriers and messengers,Warehousing and storage,Information,Publishing industries (except Internet),Motion picture and sound recording industries,Broadcasting (except Internet),Internet publishing and broadcasting 8/,Telecommunications,"Data processing, hosting, and related services",Other information services 8/,Finance and insurance,Monetary Authorities-central bank,Credit intermediation and related activities,"Securities, commodity contracts, and other financial investments and related activities",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services,Lessors of nonfinancial intangible assets (except copyrighted works),"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Administrative and support services,Waste management and remediation services,Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, and recreation","Performing arts, spectator sports, and related industries","Museums, historical sites, and similar institutions","Amusement, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,Other services (except government and government enterprises),Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Government and government enterprises,Federal civilian,Military,State and local,State government,Local government
55075,"Marinette, WI",3,2001,1054374,43157,24431,754192,87533,45069,42464,-8572,658087,183310,212977,536682,147290,104826,70220,2624,67596,8103,746089,648317,5867,(D),(L),(D),6412,123,6283,(L),(D),32134,6492,1269,24373,296835,216225,18535,1714,(D),9730,14111,(D),(D),(D),(D),(D),(D),80610,(D),-62,(L),(L),(D),(L),56723,2675,405,(D),10462,(D),52799,11574,940,1362,3787,6836,4022,6347,1342,805,10614,3255,1915,37385,(L),1049,101,29410,1813,136,532,1300,(D),(D),8887,(D),(D),(D),(D),1740,(D),(L),17811,0,11842,2249,3692,(L),3918,(D),(D),(L),10964,2295,5182,(D),(D),(D),(D),35700,(D),18106,3966,3050,238,(L),2811,17645,2615,15030,23987,7823,6627,8858,679,97772,6176,4806,86790,8817,77973
55075,"Marinette, WI",3,2002,1111785,43122,25782,807941,92437,48495,43942,-13126,702378,181338,228069,577321,159423,115481,71197,-1072,72269,4884,803057,698827,(D),3008,(L),(D),(D),127,(D),(L),(D),33287,7710,1175,24402,322262,234960,18758,1790,(D),8630,14506,(D),(D),(D),(D),(D),(D),87302,(D),(L),0,(L),(D),(L),60741,2608,179,(D),9689,(D),57727,12852,950,1460,6240,7074,4338,6251,1366,808,11282,3082,2024,38274,(L),977,(L),30710,1938,-140,470,1294,(D),(D),10116,(D),(D),(D),93,2391,(D),(L),19226,0,13151,2164,3892,(L),4012,3263,711,(L),11455,2327,5965,(D),(D),(D),(D),39615,(D),19469,4170,3359,308,(L),3050,17240,2440,14800,27206,8527,7481,10544,654,104230,6520,6142,91568,9930,81638
55075,"Marinette, WI",3,2003,1156352,42946,26926,853983,96714,50727,45987,-17850,739419,183542,233391,601351,171877,125890,80755,9131,71624,14921,839062,729182,(D),3307,(L),(D),(D),159,(D),(L),610,34403,7923,1409,25071,336578,247000,19407,1880,(D),10532,13759,(D),(D),(D),(D),2603,(D),89578,3367,(L),(L),(L),(D),(L),65645,2722,136,(D),10118,26863,61121,14091,1149,1363,7506,7230,4877,5481,1362,801,12131,3078,2052,43292,(L),986,(L),33637,2212,-85,281,983,(D),(D),10522,(D),(D),(D),107,2489,(D),(L),18440,0,12934,1457,3958,91,3955,3216,709,(L),11836,2598,6250,(D),(D),(D),(D),43140,(D),20276,4673,3558,547,(L),3009,18734,2704,16030,26579,7852,7137,10887,703,109880,6338,8114,95428,11452,83976
55075,"Marinette, WI",3,2004,1185437,42680,27775,897722,102761,53770,48991,-23082,771879,174304,239254,633757,186602,137611,77363,8180,69183,14579,883143,767372,(D),4635,(L),(D),(D),191,(D),(L),367,36619,(D),(D),27134,351574,271666,19907,1563,(D),12151,14353,(D),(D),(D),(D),(D),(D),79908,844,(L),(L),(L),(D),(L),57835,1556,116,(D),11214,27735,59077,11901,1126,1240,7453,6970,5420,4661,2141,658,12559,3330,1618,46084,(L),1050,(L),35132,2383,(L),291,925,(D),(D),11073,(D),(D),(D),94,3081,(D),(L),20131,0,13992,1222,4336,581,4318,3468,823,(L),12466,2872,6298,(D),(D),(D),(D),48411,(D),21364,4876,3371,392,(L),2977,19002,2848,16154,27347,8170,7056,11396,725,115771,6889,11293,97589,12665,84924
55075,"Marinette, WI",3,2005,1199106,42850,27984,908667,105765,55773,49992,-27897,775005,165518,258583,646182,193527,143535,68958,6571,62387,12603,896064,776396,(D),6195,-63,(D),(D),202,(D),(L),229,35538,7230,1494,26814,351181,280715,20587,(D),67040,15399,15732,(D),(D),(D),(D),550,(D),70466,166,0,(L),(L),(D),(L),(D),1255,(L),(D),(D),28359,57632,11336,990,1200,7694,6566,5617,4581,1882,406,12475,3746,1139,47250,(L),927,(L),36457,2400,(L),(L),821,(D),(D),9434,(D),(D),(D),58,3274,(D),52,20892,0,15310,692,4340,550,3936,3144,758,(L),13301,4117,7052,(D),(D),(D),(D),48780,(D),21316,4899,4620,(D),(L),(D),18189,2717,15472,27268,8167,7103,11281,717,119668,7099,12816,99753,13668,86085
55075,"Marinette, WI",3,2006,1240176,42389,29257,931067,109695,58200,51495,-32706,788666,173942,277568,666447,195603,144108,69017,5185,63832,11180,919887,804314,(D),6859,-69,(D),(D),206,(D),(L),621,35353,6825,1471,27057,366341,298667,22087,(D),65524,21933,11164,(D),(D),(D),(D),517,(D),67674,129,0,(D),(L),(D),(L),45260,1545,275,(D),(D),28218,58763,11224,1016,1222,7818,6705,5960,4749,1978,453,12447,3980,1211,51724,(L),999,(L),42315,2451,(L),51,954,(D),(D),8268,(D),(D),(D),(L),3211,(D),(L),20424,0,15266,863,4016,279,2954,2115,816,(L),13947,4188,7559,(D),(D),(D),(D),48460,(D),21880,6350,3628,(D),(L),(D),20270,4028,16242,27947,8260,7545,11398,744,115573,7273,5991,102309,15301,87008
55075,"Marinette, WI",3,2007,1290425,42190,30586,951895,111809,60018,51791,-37677,802409,189486,298530,680847,203965,152174,67083,6899,60184,15096,936799,818976,(D),5261,-78,(D),(D),217,(D),(L),707,33921,6758,1465,25698,378580,309070,20009,(D),(D),26290,11554,(D),(D),(D),(D),439,(D),69510,149,(L),(D),(L),(D),(L),44127,1482,607,(D),(D),29101,61973,11385,1112,1364,7342,7168,6440,5341,2124,835,13626,3280,1956,48070,88,970,(L),40463,2372,(L),(L),1140,(D),(D),7622,(D),(D),(D),(NA),3572,(L),(L),20949,0,16341,(D),3788,(D),2118,1385,723,(L),14657,4692,8248,(D),(D),(D),(D),49208,(D),22234,7019,3818,(D),(L),(D),21852,4171,17681,28387,8522,7507,11570,788,117823,7269,5518,105036,16722,88314
55075,"Marinette, WI",3,2008,1364791,42019,32480,982478,117013,62364,54649,-42947,822518,212069,330204,699154,211566,156917,71758,6640,65118,15392,967086,842908,(D),4325,-77,(D),(D),473,(D),(L),1595,34421,7464,1602,25355,380588,311218,20994,(D),(D),28375,13309,(D),(D),73922,61322,(D),(D),69370,158,(L),(D),0,(D),(L),(D),1402,623,(D),(D),29104,66918,12375,1086,1560,7818,7277,5910,6210,1887,1056,15231,2484,4024,44714,(L),918,(L),37129,2100,(L),(L),1829,(D),(D),7738,(D),(D),(D),(NA),3828,(L),0,21892,0,17862,(D),3852,(D),1758,1314,440,(L),16300,5343,8243,(D),(D),(D),(D),53274,(D),26193,7385,3944,(D),(L),(D),21636,4367,17269,32385,12301,7088,12185,811,124178,7472,7935,108771,18192,90579
55075,"Marinette, WI",3,2009,1334048,41792,31921,892877,108590,58236,50354,-37433,746854,196475,390719,628813,206817,156463,57247,-4995,62242,3473,889404,762792,(D),3272,-60,(D),(D),185,(D),(L),(D),32527,(D),(D),23304,301203,263668,17206,(D),(D),22348,10121,(D),(L),57735,58667,(D),(D),37535,159,0,(D),(L),(D),(L),(D),899,670,(D),(D),(D),63613,11154,867,1696,7330,7484,5428,5784,1639,1086,15190,2044,3911,44144,(L),944,0,36572,2161,0,(L),1801,(D),(D),8242,(D),(D),(D),(NA),3953,(L),0,24646,0,18790,(D),4545,(D),2482,2052,430,0,16500,6062,8056,(D),(D),(D),(D),58104,(D),26955,7260,4205,(D),(L),(D),19637,3486,16151,28709,8317,7257,12414,721,126612,7847,5018,113747,18543,95204
55075,"Marinette, WI",3,2010,1396657,41684,33506,942962,116605,61259,55346,-39506,786851,199499,410307,670835,207665,152319,64462,5399,59063,12775,930187,801315,(D),3922,(L),(D),(D),212,(D),(L),(D),32449,6764,1781,23904,330231,294012,16915,(D),(D),24639,10364,(D),(L),59699,(D),(D),(D),36219,81,(L),(D),0,(D),0,(D),936,707,(D),(D),(D),56285,11002,880,1411,5451,7368,5160,5232,1464,774,12792,1769,2982,46897,(L),982,0,38472,2285,(L),0,1501,(D),(D),7736,(D),(D),(D),(NA),3862,(L),(L),24766,0,18468,(D),4187,(D),4334,3346,987,(L),14817,6585,9215,(D),(D),(D),(D),60541,(D),28066,7754,4329,(D),0,(D),20705,3781,16924,28982,8301,7593,12463,625,128872,10082,4796,113994,18540,95454
