Region,Year,Personal income (thousands of dollars),Population (persons),Per capita personal income (dollars),Construction,Manufacturing,Wholesale trade,Retail trade,Information,"Professional, scientific, and technical services",Administrative and support and waste management and remediation services,Other services (except government and government enterprises),Farm earnings Forestry Fishing Mining Quarrying Oil Gas extraction,Finance Insurance Real estate Rental Leasing,Arts Entertainment Recreation Accommodation Food services,State County Code
0.01,2016,15912777000.0,323127513.0,49246.0,680277000.0,1059242000.0,561313000.0,675342000.0,385391000.0,1157722000.0,459373000.0,417571000.0,232955000.0,1017154000.0,520763000.0,00
5.0,2016,189161974.0,4863300.0,38896.0,7453781.0,18016738.0,5881981.0,8310892.0,1493764.0,10299793.0,4409786.0,5266243.0,1970727.0,8320201.0,4367999.0,01000
5.0,2016,2201206.0,55416.0,39721.0,48983.0,118830.0,40957.0,52767.0,3063.0,18772.0,,43358.0,15223.0,28212.0,39466.0,01001
5.0,2016,8610692.0,208563.0,41286.0,359523.0,252033.0,180715.0,490998.0,20283.0,196570.0,133523.0,230648.0,29425.0,277063.0,397128.0,01003
5.0,2016,825374.0,25965.0,31788.0,13642.0,112141.0,,35902.0,1736.0,,6276.0,23550.0,52735.0,14280.0,11868.0,01005
5.0,2016,662619.0,22643.0,29264.0,69848.0,19473.0,8977.0,15618.0,,3396.0,,,1874.02,4903.0,5916.0,01007
5.0,2016,1815973.0,57704.0,31470.0,56653.0,58536.0,25279.0,40861.0,6249.0,16834.0,13800.0,48760.0,15965.02,17624.0,14400.0,01009
5.0,2016,276257.0,10362.0,26661.0,,31709.0,,5045.0,,,,,15090.02,2381.0,,01011
5.0,2016,673803.0,19998.0,33694.0,19568.0,73928.0,9008.0,28182.0,2974.0,,13311.0,16492.0,21454.0,9442.0,15859.0,01013
5.0,2016,3942713.0,114611.0,34401.0,77950.0,375170.0,107481.0,200225.0,33390.0,79595.0,102139.0,106076.0,14917.02,85297.0,98992.0,01015
5.0,2016,1080439.0,33843.0,31925.0,15144.0,119163.0,3896.0,32875.0,3435.0,10080.0,20639.0,19485.0,13985.02,9608.0,,01017
5.0,2016,850398.0,25725.0,33057.0,12227.0,51856.0,8804.0,33233.0,1407.0,,7287.0,17524.0,23403.0,9848.0,7035.0,01019
5.0,2016,1407904.0,43941.0,32041.0,54927.0,113051.0,24144.0,51016.0,3717.0,,7677.0,39342.0,82.02000000000001,17643.0,,01021
5.0,2016,414810.0,12993.0,31926.0,,,3788.0,18321.0,1011.0,3908.0,,10392.0,16592.0,5410.0,,01023
5.0,2016,807275.0,24392.0,33096.0,19134.0,122915.0,8363.0,44261.0,2516.0,,6701.0,24455.0,26862.0,27223.0,12474.0,01025
5.0,2016,451335.0,13492.0,33452.0,7824.0,84138.0,,10051.0,704.0,2078.0,,9598.0,13256.0,6349.0,,01027
5.0,2016,476336.0,14924.0,31917.0,47096.0,20459.0,2321.0,13354.0,,1431.0,1270.0,10305.0,16724.01,3613.0,2591.01,01029
5.0,2016,2045097.0,51226.0,39923.0,28116.0,145304.0,20228.0,87899.0,3647.0,,22861.0,50055.0,55840.020000000004,32523.0,31488.0,01031
5.0,2016,1974679.0,54216.0,36422.0,120668.0,439426.0,62357.0,121286.0,7573.0,23316.0,50670.0,59662.0,12010.0,57092.0,34707.0,01033
5.0,2016,376182.0,12395.0,30349.0,3536.0,25381.0,11200.0,7524.0,806.0,1606.0,4041.0,9352.0,13369.02,2277.01,,01035
5.0,2016,309773.0,10581.0,29276.0,2285.0,31224.0,3173.0,2521.0,,2086.0,,6702.0,3227.01,,,01037
5.0,2016,1211378.0,37458.0,32340.0,33493.0,99741.0,27105.0,63189.0,4531.0,,23204.0,34339.0,24341.019999999997,30513.0,17976.0,01039
5.0,2016,468647.0,13913.0,33684.0,9767.0,58237.0,18762.0,7738.0,836.0,2415.0,1359.0,29845.0,38109.01,6460.0,,01041
5.0,2016,2994954.0,82471.0,36315.0,117475.0,353280.0,62040.0,141453.0,10224.0,45544.0,40507.0,78895.0,57000.020000000004,75089.0,56536.0,01043
5.0,2016,1706837.0,49226.0,34673.0,53564.0,395399.0,8030.0,36109.0,1908.0,48807.0,26351.0,35542.0,22732.019999999997,25322.0,26051.0,01045
5.0,2016,1343382.0,40008.0,33578.0,30805.0,187183.0,14993.0,56091.0,5298.0,13123.0,19929.0,42272.0,39191.020000000004,23178.0,17068.0,01047
5.0,2016,2099352.0,70900.0,29610.0,62869.0,328519.0,,86455.0,12206.0,23480.0,27518.0,58819.0,32492.019999999997,26594.0,37517.0,01049
5.0,2016,3208675.0,81799.0,39226.0,83540.0,173085.0,13922.0,115140.0,8652.0,43005.0,23392.0,68672.0,239.01999999999998,46599.0,58508.0,01051
5.0,2016,1176126.0,37728.0,31174.0,40379.0,138734.0,24466.0,55057.0,3391.0,10338.0,11793.0,24680.0,35751.0,27939.0,21614.0,01053
5.0,2016,3582781.0,102564.0,34932.0,100353.0,307315.0,59271.0,163740.0,18655.0,51237.0,106570.0,103750.0,9255.0,97842.0,83624.0,01055
5.0,2016,517825.0,16546.0,31296.0,7966.0,47857.0,,18244.0,1362.0,2720.0,,10939.0,14576.0,7012.0,,01057
5.0,2016,1018528.0,31628.0,32203.0,19726.0,209138.0,,26484.0,1803.0,,7964.0,27951.0,17262.0,20939.0,13403.0,01059
5.0,2016,862778.0,26614.0,32418.0,16214.0,32035.0,24505.0,20293.0,,5689.0,,,55556.01,12369.0,,01061
5.0,2016,271569.0,8422.0,32245.0,2548.0,22836.0,,4872.0,110.0,,,4067.0,21731.01,,7955.0,01063
5.0,2016,529121.0,14952.0,35388.0,10966.0,32047.0,2468.0,8342.0,913.0,1523.0,377.0,6051.0,47435.020000000004,5562.0,,01065
5.0,2016,634240.0,17164.0,36952.0,14250.0,27417.0,13770.0,9922.0,,28263.0,3431.0,,30397.0,5459.0,,01067
5.0,2016,4091547.0,104056.0,39321.0,134972.0,196246.0,193461.0,291069.0,34656.0,100772.0,90090.0,123682.0,22958.019999999997,121875.0,110139.0,01069
5.0,2016,1780564.0,52138.0,34151.0,46330.0,283312.0,25480.0,72515.0,3191.0,19476.0,15444.0,42612.0,14470.02,27998.0,23567.0,01071
5.0,2016,32571200.0,659521.0,49386.0,1833875.0,1847026.0,1819478.0,1407283.0,542207.0,2502224.0,889849.0,969422.0,106763.0,2995847.0,898322.0,01073
5.0,2016,430816.0,13918.0,30954.0,7282.0,71213.0,,10770.0,757.0,,9081.0,9356.0,1799.02,6828.0,381.01,01075
5.0,2016,3275936.0,92318.0,35485.0,123753.0,162226.0,64115.0,174870.0,18114.0,62383.0,50082.0,93773.0,-3643.9799999999996,78072.0,86243.0,01077
5.0,2016,1038715.0,33244.0,31245.0,27847.0,8362.0,5844.0,26456.0,,5154.0,11535.0,,-1332.98,14117.0,,01079
5.0,2016,5464860.0,158991.0,34372.0,187968.0,401232.0,108115.0,218705.0,25977.0,146795.0,138617.0,142577.0,12351.0,126944.0,161426.0,01081
5.0,2016,3516520.0,92753.0,37913.0,241462.0,223574.0,58269.0,142129.0,12777.0,58772.0,36784.0,81875.0,2461.0200000000004,41420.0,52649.0,01083
5.0,2016,383757.0,10358.0,37049.0,13702.0,73919.0,,4682.0,,,2340.0,,26125.019999999997,,,01085
5.0,2016,598832.0,18963.0,31579.0,,,2916.0,11452.0,346.0,,5641.0,11179.0,2300.0200000000004,2324.0,,01087
5.0,2016,16811249.0,356967.0,47095.0,439219.0,1822513.0,432624.0,772633.0,162430.0,3729655.0,667278.0,361929.0,-2264.9799999999996,523431.0,397815.0,01089
5.0,2016,719065.0,19673.0,36551.0,30650.0,95963.0,,26189.0,1941.0,,17319.0,15861.0,41780.0,18211.0,9075.0,01091
5.0,2016,878134.0,29998.0,29273.0,12790.0,155212.0,18553.0,33572.0,2196.0,4102.0,11598.0,25510.0,18679.019999999997,25058.0,12593.0,01093
5.0,2016,3201096.0,95157.0,33640.0,116716.0,518716.0,81103.0,177025.0,24276.0,49623.0,39656.0,92455.0,26115.019999999997,69706.0,66345.0,01095
5.0,2016,14913762.0,414836.0,35951.0,809052.0,1783325.0,603186.0,769773.0,119105.0,910278.0,495074.0,574163.0,109257.0,856531.0,369335.0,01097
5.0,2016,693683.0,21530.0,32219.0,12981.0,94622.0,24175.0,25112.0,3127.0,,4460.0,16539.0,7921.02,12814.0,,01099
5.0,2016,9371752.0,226349.0,41404.0,393685.0,938404.0,360503.0,487903.0,129359.0,714331.0,362045.0,366952.0,48793.0,529463.0,267837.0,01101
5.0,2016,4373175.0,119012.0,36746.0,226908.0,975680.0,119874.0,189372.0,17572.0,121321.0,103675.0,119540.0,34997.0,114126.0,96246.0,01103
5.0,2016,288171.0,9574.0,30099.0,4026.0,23267.0,,4488.0,,1879.0,,,19876.0,4420.0,3125.0,01105
5.0,2016,609039.0,20324.0,29966.0,6153.0,42284.0,,12702.0,2170.0,,,13995.0,11617.02,,,01107
5.0,2016,1174550.0,33286.0,35287.0,22401.0,199925.0,,47660.0,15767.0,9105.0,8169.0,27587.0,36314.0,33204.0,29836.0,01109
5.0,2016,728499.0,22652.0,32160.0,13662.0,53825.0,,22003.0,2072.0,5227.0,1547.0,15763.0,12446.02,10615.0,,01111
5.0,2016,1757626.0,58172.0,30214.0,46833.0,183326.0,11187.0,68243.0,,11091.0,17779.0,,14463.0,37281.0,31614.0,01113
5.0,2016,3052162.0,88019.0,34676.0,103199.0,220185.0,74365.0,92207.0,8324.0,45273.0,39300.0,84805.0,9050.02,40805.0,44162.0,01115
5.0,2016,10619769.0,210622.0,50421.0,490412.0,371199.0,660735.0,464187.0,109916.0,604648.0,271248.0,296734.0,61833.0,1183509.0,220352.0,01117
5.0,2016,402224.0,13040.0,30845.0,5952.0,22245.0,,6774.0,,,,,36407.01,3794.0,4576.0,01119
5.0,2016,2577047.0,80103.0,32172.0,65949.0,770324.0,40201.0,83941.0,10724.0,37676.0,86843.0,67576.0,1861.02,37482.0,50093.0,01121
5.0,2016,1519928.0,40727.0,37320.0,43428.0,122663.0,23907.0,53676.0,6474.0,34984.0,51399.0,38920.0,1871.02,25610.0,28831.0,01123
5.0,2016,7400844.0,206102.0,35909.0,305443.0,1169832.0,162225.0,342601.0,52031.0,272872.0,227924.0,177019.0,113826.0,277022.0,231865.0,01125
5.0,2016,2416193.0,64967.0,37191.0,52992.0,95390.0,29704.0,124548.0,6442.0,28570.0,13427.0,62404.0,32255.0,45282.0,42557.0,01127
5.0,2016,567840.0,16756.0,33889.0,14305.0,126790.0,20577.0,6803.0,,,13518.0,,8581.02,,,01129
5.0,2016,313678.0,10986.0,28553.0,6414.0,64473.0,,7922.0,,1702.0,1060.0,,14376.0,4897.0,,01131
5.0,2016,790683.0,23805.0,33215.0,18268.0,166833.0,18652.0,26559.0,,6657.0,5117.0,,11707.02,13866.0,,01133
8.0,2016,41283275.0,741894.0,55646.0,2220524.0,960001.0,501776.0,1698542.0,575528.0,1640620.0,849999.0,957753.0,2970369.0,1226268.0,1329459.0,02000
8.0,2016,198697.0,3296.0,60284.0,,144778.0,,1905.0,435.0,,,,139.01,,,02013
8.0,2016,316823.0,5647.0,56105.0,6004.0,142633.0,,13868.0,1739.0,,13556.0,7776.0,6117.02,,,02016
8.0,2016,18582292.0,298192.0,62317.0,942627.0,146814.0,383163.0,829725.0,409927.0,1193701.0,486807.0,476777.0,888797.0,799308.0,659253.0,02020
8.0,2016,733554.0,17968.0,40826.0,13670.0,,1323.0,23738.0,6091.0,,3983.0,26116.0,1954.01,23544.0,3604.0,02050
8.0,2016,57534.0,898.0,64069.0,,42469.0,178.0,,,,,,,,6306.0,02060
8.0,2016,135801.0,1953.0,69535.0,,897.0,,1305.0,94.0,12745.0,,,107.01,,54568.0,02068
8.0,2016,267137.0,4954.0,53923.0,4702.0,,,7393.0,,,,5281.0,6644.01,,4715.0,02070
8.0,2016,5397187.0,100605.0,53647.0,392927.0,44185.0,,210167.0,36846.0,117389.0,,101086.0,128283.01,110466.0,141543.0,02090
8.0,2016,126465.0,2496.0,50667.0,8978.0,5669.0,84.0,6058.0,,2842.0,1616.0,2536.0,,560.01,10173.0,02100
8.0,2016,115351.0,2078.0,55511.0,,2010.0,,2748.0,,,679.0,1705.0,,,,02105
8.0,2016,2047751.0,32468.0,63070.0,102017.0,20475.0,,84251.0,18655.0,69293.0,30039.0,55877.0,592.02,55106.0,55422.0,02110
8.0,2016,2965755.0,58506.0,50691.0,124476.0,93877.0,17854.0,110203.0,16193.0,54563.0,15731.0,57429.0,190048.0,62590.0,89530.0,02122
8.0,2016,869051.0,13746.0,63222.0,51639.0,35464.0,,58951.0,5271.0,11233.0,11748.0,15628.0,,30802.0,45761.0,02130
8.0,2016,808036.0,13732.0,58843.0,24884.0,83621.0,,20438.0,3316.0,6867.0,17575.0,14617.0,105990.0,14829.0,16124.0,02150
8.0,2016,251945.0,8049.0,31301.0,,,,8157.0,,78.0,299.0,4516.0,69.0,,,02158
8.0,2016,85115.0,1562.0,54491.0,,3878.0,,468.0,,,,1046.0,93.01,,7981.0,02164
8.0,2016,4683902.0,104365.0,44880.0,349133.0,17311.0,12909.0,184087.0,40653.0,68827.0,40091.0,89316.0,31878.0,68279.0,82570.0,02170
8.0,2016,498369.0,9917.0,50254.0,21946.0,,,13985.0,1917.0,2631.0,1551.0,23904.0,2995.01,9135.0,6546.0,02180
8.0,2016,358607.0,9606.0,37332.0,,,3673.0,12179.0,5337.0,,118550.0,20282.0,1093339.0,,46960.0,02185
8.0,2016,368603.0,7673.0,48039.0,,236.0,,,4210.0,,,,397.01,,8215.0,02188
8.0,2016,197672.0,3149.0,62773.0,6167.0,11586.0,,7883.0,1546.0,1377.0,,5117.0,,2237.0,3101.0,02195
8.0,2016,258640.0,6347.0,40750.0,4694.0,9355.0,,11617.0,2102.0,,,3184.0,,5353.0,,02198
8.0,2016,552206.0,8830.0,62537.0,30701.0,29578.0,1540.0,23326.0,2096.0,5591.0,3597.0,9672.0,36100.0,8918.0,21770.0,02220
8.0,2016,84839.0,1088.0,77977.0,2263.0,3122.0,,9903.0,,1158.0,2112.0,2019.0,204.0,,10878.0,02230
8.0,2016,298917.0,6876.0,43473.0,12348.0,,948.0,12777.0,846.0,11161.0,5409.0,3744.0,1034.01,1651.0,,02240
8.0,2016,573805.0,9355.0,61337.0,30800.0,31953.0,,19147.0,9462.0,6953.0,11967.0,14230.0,,,21197.0,02261
8.0,2016,113571.0,2411.0,47105.0,2457.0,5433.0,60.0,4756.0,900.0,,,2775.0,10112.0,1021.0,,02275
8.0,2016,32551.0,601.0,54161.0,,,73.0,,,75.0,222.0,,1500.0,,,02282
8.0,2016,303099.0,5526.0,54850.0,,,,6039.0,678.0,,279.0,5759.0,2908.01,,,02290
6.0,2016,280120037.0,6931071.0,40415.0,10622652.0,15145697.0,9382681.0,13949120.0,4463174.0,14973895.0,11702382.0,6903052.0,3571059.0,19333595.0,9747395.0,04000
6.0,2016,2174105.0,73112.0,29737.0,15945.0,6192.0,,,10952.0,8815.0,12065.0,20028.0,16717.0,22696.0,25596.0,04001
6.0,2016,4900244.0,125770.0,38962.0,97568.0,36062.0,24800.0,157946.0,29738.0,186648.0,95253.0,75391.0,113050.0,81277.0,83658.0,04003
6.0,2016,5926226.0,140908.0,42057.0,165475.0,402152.0,60646.0,267459.0,28153.0,109751.0,64343.0,126250.0,15964.0,168556.0,481526.0,04005
6.0,2016,1943756.0,53556.0,36294.0,47421.0,101739.0,8972.0,60032.0,12720.0,,13811.0,26809.0,89248.0,16956.0,49112.0,04007
6.0,2016,1116270.0,37599.0,29689.0,12984.0,10830.0,9020.0,47381.0,1584.0,24305.0,,23526.0,15919.02,5145.01,34423.0,04009
6.0,2016,355062.0,9613.0,36936.0,5377.0,145.0,11611.0,,116.0,,,,3443.0200000000004,,,04011
6.0,2016,645687.0,20317.0,31781.0,6833.0,7596.0,,33641.0,8381.0,5953.0,3975.0,,17273.01,2840.01,,04012
6.0,2016,185111698.0,4242997.0,43628.0,8198717.0,11185758.0,8010665.0,10200566.0,3673216.0,12192372.0,9577673.0,4825472.0,1030455.0,16930339.0,6934920.0,04013
6.0,2016,6166757.0,205249.0,30045.0,165023.0,175474.0,50204.0,325881.0,40762.0,95209.0,100724.0,138365.0,11330.0,126539.0,198236.0,04015
6.0,2016,3235693.0,110026.0,29408.0,109314.0,13165.0,15333.0,138818.0,85014.0,28028.0,26367.0,53271.0,64487.0,39545.0,85587.0,04017
