State County Code,PCP
01001,50.76
01003,58.19
01005,40.42
01007,44.56
01009,35.78
01011,40.89
01013,49.7
01015,33.76
01017,41.36
01019,36.8
01021,46.64
01023,44.89
01025,49.79
01027,40.91
01029,34.17
01031,48.33
01033,44.01
01035,52.04
01037,44.72
01039,49.99
01041,46.69
01043,41.18
01045,47.5
01047,48.5
01049,41.74
01051,44.9
01053,51.88
01055,37.68
01057,42.77
01059,46.08
01061,55.59
01063,42.13
01065,42.28
01067,44.58
01069,55.15
01071,41.9
01073,38.78
01075,43.99
01077,44.11
01079,44.38
01081,41.43
01083,44.89
01085,46.04
01087,41.47
01089,47.63
01091,46.72
01093,47.24
01095,39.46
01097,58.68
01099,50.64
01101,43.87
01103,42.58
01105,47.03
01107,44.29
01109,43.38
01111,38.63
01113,37.59
01115,35.4
01117,39.33
01119,41.34
01121,38.68
01123,42.38
01125,41.1
01127,41.43
01129,51.08
01131,46.38
01133,44.85
04001,11.87
04003,15.75
04005,14.23
04007,17.93
04009,17.33
04011,16.59
04012,5.39
04013,7.66
04015,12.64
04017,10.88
04019,10.82
04021,10.21
04023,19.18
04025,16.68
04027,3.42
05001,48.12
05003,63.52
05005,45.76
05007,35.11
05009,38.96
05011,57.05
05013,56.65
05015,37.51
05017,62.17
05019,55.71
05021,52.28
05023,48.37
05025,55.71
05027,60.81
05029,46.2
05031,55.54
05033,36.56
05035,57.91
05037,53.59
05039,56.99
05041,56.85
05043,59.65
05045,46.49
05047,37.97
05049,48.7
05051,52.77
05053,60.06
05055,55.06
05057,57.63
05059,56.78
05061,54.15
05063,48.42
05065,45.41
05067,48.76
05069,53.83
05071,40.04
05073,63.84
05075,55.2
05077,54.03
05079,55.68
05081,53.99
05083,39.63
05085,49.37
05087,38.07
05089,43.01
05091,57.11
05093,50.49
05095,47.78
05097,55.41
05099,59.37
05101,41.9
05103,57.14
05105,42.04
05107,49.96
05109,56.17
05111,53.87
05113,48.99
05115,44.22
05117,47.6
05119,53.27
05121,55.32
05123,53.78
05125,54.95
05127,44.43
05129,45.7
05131,41.52
05133,52.86
05135,48.8
05137,45.15
05139,60.06
05141,46.8
05143,36.32
05145,46.75
05147,45.19
05149,41.24
06001,22.55
06003,39.63
06005,41.01
06007,55.96
06009,40.49
06011,25.49
06013,22.55
06015,97.59
06017,53.14
06019,19.6
06021,29.61
06023,79.86
06025,3.06
06027,4.91
06029,9.21
06031,7.61
06033,55.34
06035,23.63
06037,12.59
06039,24.08
06041,40.81
06043,34.7
06045,65.92
06047,14.46
06049,19.17
06051,15.22
06053,20.86
06055,36.01
06057,65.78
06059,10.92
06061,57.28
06063,52.75
06065,8.04
06067,22.67
06069,17.65
06071,6.6
06073,13.17
06075,28.85
06077,18.33
06079,16.06
06081,33.08
06083,15.99
06085,29.64
06087,40.44
06089,57.21
06091,60.57
06093,48.93
06095,22.86
06097,49.56
06099,18.04
06101,21.39
06103,47.99
06105,74.92
06107,19.73
06109,45.14
06111,16.14
06113,22.92
06115,46.73
08001,14.89
08003,11.15
08005,15.54
08007,20.92
08009,14.52
08011,13.63
08013,17.78
08014,12.22
08015,15.1
08017,13.78
08019,24.34
08021,16.44
08023,16.96
08025,13.1
08027,17.96
08029,16.55
08031,12.26
08033,21.37
08035,15.56
08037,21.92
08039,15.42
08041,15.11
08043,12.88
08045,20.72
08047,21.0
08049,21.16
08051,20.66
08053,26.54
08055,15.62
08057,23.02
08059,15.74
08061,14.07
08063,16.56
08065,23.36
08067,21.32
08069,18.0
08071,14.53
08073,12.07
08075,15.27
08077,16.76
08079,24.31
08081,16.12
08083,16.76
08085,13.08
08087,18.29
08089,14.33
08091,20.13
08093,16.04
08095,18.03
08097,27.6
08099,14.88
08101,13.0
08103,18.38
08105,13.63
08107,24.33
08109,15.12
08111,35.9
08113,17.47
08115,17.57
08117,24.84
08119,18.43
08121,16.87
08123,13.85
08125,17.5
09001,37.61
09003,34.56
09005,36.49
09007,34.14
09009,35.71
09011,38.12
09013,37.73
09015,39.9
10001,41.71
10003,40.42
10005,50.63
12001,46.39
12003,45.27
12005,63.98
12007,43.58
12009,56.28
12011,52.77
12013,59.05
12015,59.51
12017,52.07
12019,41.76
12021,56.92
12023,48.0
12027,58.48
12029,60.94
12031,40.36
12033,57.47
12035,44.06
12037,52.4
12039,56.13
12041,55.14
12043,57.17
12045,56.16
12047,47.61
12049,55.32
12051,55.03
12053,50.63
12055,57.73
12057,56.94
12059,58.86
12061,61.53
12063,56.72
12065,59.78
12067,56.1
12069,46.6
12071,58.72
12073,58.5
12075,50.34
12077,56.46
12079,53.48
12081,58.52
12083,46.92
12085,52.22
12086,54.14
12087,47.8
12089,41.96
12091,56.51
12093,57.87
12095,51.26
12097,54.87
12099,50.68
12101,52.68
12103,53.76
12105,55.48
12107,43.41
12109,43.36
12111,59.98
12113,53.97
12115,57.47
12117,48.99
12119,47.85
12121,50.81
12123,56.83
12125,45.8
12127,45.41
12129,57.23
12131,59.71
12133,61.88
13001,46.92
13003,46.07
13005,46.07
13007,54.41
13009,31.87
13011,30.84
13013,34.35
13015,32.39
13017,44.63
13019,47.79
13021,33.86
13023,36.55
13025,46.14
13027,54.85
13029,53.97
13031,48.68
13033,40.95
13035,33.94
13037,45.27
13039,43.73
13043,42.66
13045,40.39
13047,35.24
13049,43.96
13051,54.69
13053,36.61
13055,37.38
13057,34.51
13059,35.61
13061,40.18
13063,36.7
13065,44.85
13067,35.34
13069,47.61
13071,53.4
13073,34.24
13075,50.42
13077,40.17
13079,35.64
13081,39.45
13083,38.78
13085,37.16
13087,56.1
13089,36.09
13091,37.61
13093,38.17
13095,49.03
13097,39.03
13099,49.22
13101,47.0
13103,54.42
13105,28.25
13107,38.94
13109,49.81
13111,40.19
13113,36.9
13115,33.86
13117,33.33
13119,28.56
13121,36.82
13123,39.93
13125,33.41
13127,43.98
13129,32.99
13131,58.63
13133,32.52
13135,33.92
13137,37.25
13139,34.2
13141,31.74
13143,37.09
13145,38.5
13147,27.46
13149,40.63
13151,35.57
13153,36.16
13155,46.01
13157,32.49
13159,33.63
13161,44.49
13163,36.13
13165,42.27
13167,35.17
13169,32.91
13171,36.46
13173,48.24
13175,35.38
13177,42.76
13179,52.34
13181,31.05
13183,51.82
13185,51.08
13187,39.69
13189,32.73
13191,44.12
13193,37.09
13195,31.31
13197,37.22
13199,38.58
13201,55.58
13205,55.97
13207,34.51
13209,37.46
13211,35.23
13213,37.28
13215,36.98
13217,34.48
13219,36.81
13221,32.98
13223,34.7
13225,35.39
13227,36.89
13229,46.14
13231,37.84
13233,33.99
13235,37.95
13237,32.57
13239,38.67
13241,42.38
13243,39.41
13245,38.42
13247,35.37
13249,37.51
13251,47.62
13253,55.47
13255,35.78
13257,32.4
13259,37.3
13261,38.48
13263,37.43
13265,30.89
13267,48.7
13269,36.73
13271,42.06
13273,41.34
13275,58.56
13277,46.64
13279,41.73
13281,41.8
13283,36.45
13285,39.91
13287,42.57
13289,34.51
13291,40.74
13293,38.23
13295,36.74
13297,35.88
13299,44.21
13301,31.83
13303,33.5
13305,48.71
13307,37.47
13309,37.96
13311,39.68
13313,35.22
13315,39.23
13317,30.59
13319,33.09
13321,46.62
16001,9.27
16003,29.41
16005,23.3
16007,27.98
16009,35.52
16011,16.94
16013,20.07
16015,27.67
16017,41.59
16019,24.64
16021,45.61
16023,15.87
16025,22.05
16027,7.72
16029,27.32
16031,21.16
16033,18.83
16035,46.68
16037,24.14
16039,17.22
16041,28.15
16043,22.57
16045,16.66
16047,11.07
16049,35.97
16051,10.85
16053,12.36
16055,37.3
16057,34.4
16059,19.85
16061,26.52
16063,12.64
16065,17.09
16067,12.62
16069,24.67
16071,25.45
16073,11.1
16075,10.88
16077,21.6
16079,52.22
16081,28.45
16083,14.44
16085,32.83
16087,18.21
17001,30.93
17003,50.87
17005,41.56
17007,34.69
17009,27.72
17011,38.43
17013,31.77
17015,37.22
17017,31.67
17019,39.97
17021,37.65
17023,42.42
17025,45.26
17027,40.2
17029,37.83
17031,37.21
17033,44.22
17035,41.32
17037,37.72
17039,38.46
17041,38.1
17043,38.17
17045,40.18
17047,46.16
17049,43.64
17051,42.04
17053,41.82
17055,50.88
17057,35.84
17059,51.1
17061,34.41
17063,40.92
17065,50.29
17067,31.91
17069,54.12
17071,34.58
17073,40.02
17075,38.23
17077,48.05
17079,45.89
17081,46.74
17083,37.08
17085,39.39
17087,51.37
17089,37.48
17091,44.07
17093,39.21
17095,35.86
17097,33.14
17099,40.03
17101,45.57
17103,40.67
17105,41.2
17107,37.57
17109,33.16
17111,32.98
17113,40.09
17115,35.57
17117,38.08
17119,42.04
17121,42.18
17123,39.3
17125,35.63
17127,50.44
17129,33.81
17131,37.16
17133,43.53
17135,38.37
17137,32.41
17139,37.29
17141,39.63
17143,36.86
17145,44.12
17147,37.76
17149,27.87
17151,53.46
17153,51.76
17155,38.72
17157,39.03
17159,43.14
17161,38.66
17163,39.84
17165,53.42
17167,36.76
17169,31.91
17171,30.39
17173,41.43
17175,35.51
17177,38.08
17179,37.97
17181,51.75
17183,40.7
17185,43.71
17187,35.67
17189,44.14
17191,46.0
17193,49.8
17195,42.9
17197,40.6
17199,52.97
17201,36.64
17203,38.21
18001,36.11
18003,35.96
18005,52.13
18007,39.17
18009,36.64
18011,41.55
18013,54.29
18015,37.62
18017,36.99
18019,46.76
18021,43.99
18023,40.27
18025,47.59
18027,51.24
18029,45.09
18031,48.29
18033,34.12
18035,40.9
18037,48.1
18039,38.55
18041,45.52
18043,47.9
18045,41.56
18047,45.42
18049,39.04
18051,43.18
18053,38.06
18055,50.77
18057,45.18
18059,44.62
18061,48.18
18063,42.08
18065,42.33
18067,36.72
18069,40.09
18071,51.18
18073,44.59
18075,37.51
18077,45.89
18079,48.73
18081,48.01
18083,47.13
18085,36.0
18087,36.83
18089,41.2
18091,42.83
18093,50.76
18095,42.75
18097,46.96
18099,41.43
18101,52.04
18103,36.96
18105,51.67
18107,39.5
18109,45.43
18111,42.42
18113,35.49
18115,47.02
18117,47.02
18119,49.0
18121,41.67
18123,48.32
18125,47.27
18127,40.8
18129,45.75
18131,45.13
18133,43.04
18135,39.19
18137,47.27
18139,46.02
18141,45.21
18143,45.84
18145,46.63
18147,48.47
18149,45.7
18151,35.83
18153,44.93
18155,47.6
18157,38.53
18159,38.92
18161,44.43
18163,46.29
18165,42.07
18167,41.3
18169,39.12
18171,38.81
18173,46.49
18175,46.92
18177,42.53
18179,37.48
18181,40.8
18183,37.55
19001,37.06
19003,39.07
19005,52.89
19007,28.26
19009,38.6
19011,39.39
19013,41.65
19015,39.27
19017,45.67
19019,42.25
19021,37.18
19023,45.18
19025,35.67
19027,36.29
19029,38.19
19031,39.17
19033,46.61
19035,36.83
19037,52.52
19039,31.87
19041,41.21
19043,44.83
19045,40.72
19047,35.03
19049,35.49
19051,29.98
19053,30.21
19055,42.1
19057,35.94
19059,39.66
19061,42.76
19063,35.39
19065,45.27
19067,52.83
19069,42.95
19071,40.84
19073,38.04
19075,37.96
19077,36.38
19079,38.15
19081,43.66
19083,37.96
19085,35.53
19087,33.3
19089,53.78
19091,34.69
19093,34.87
19095,35.67
19097,39.95
19099,34.34
19101,31.74
19103,36.7
19105,41.83
19107,31.37
19109,38.47
19111,31.86
19113,41.83
19115,36.93
19117,29.73
19119,34.32
19121,33.01
19123,30.77
19125,32.7
19127,36.05
19129,39.87
19131,51.65
19133,32.17
19135,26.45
19137,42.62
19139,35.36
19141,38.87
19143,38.66
19145,42.83
19147,37.46
19149,33.34
19151,36.02
19153,36.3
19155,37.11
19157,35.17
19159,36.04
19161,34.66
19163,40.71
19165,37.14
19167,34.43
19169,38.89
19171,35.18
19173,41.84
19175,35.49
19177,30.26
19179,27.13
19181,33.91
19183,32.26
19185,29.02
19187,38.47
19189,45.82
19191,54.87
19193,32.21
19195,48.36
19197,38.35
20001,44.62
20003,38.58
20005,38.87
20007,29.13
20009,26.38
20011,38.31
20013,40.28
20015,43.72
20017,41.99
20019,40.03
20021,41.33
20023,20.05
20025,24.2
20027,35.84
20029,33.84
20031,40.89
20033,25.19
20035,41.62
20037,40.68
20039,22.48
20041,35.92
20043,42.47
20045,39.35
20047,25.7
20049,43.48
20051,27.36
20053,32.52
20055,18.17
20057,24.37
20059,38.06
20061,36.94
20063,18.78
20065,25.71
20067,18.39
20069,24.09
20071,20.08
20073,45.88
20075,17.96
20077,30.06
20079,39.76
20081,22.24
20083,25.37
20085,42.13
20087,42.29
20089,30.77
20091,39.83
20093,18.67
20095,36.19
20097,25.2
20099,41.08
20101,19.22
20103,42.51
20105,32.16
20107,38.22
20109,19.03
20111,41.57
20113,35.82
20115,38.72
20117,32.22
20119,23.06
20121,39.17
20123,30.89
20125,39.54
20127,37.33
20129,15.86
20131,36.51
20133,40.13
20135,24.22
20137,23.13
20139,39.07
20141,32.67
20143,33.87
20145,28.72
20147,25.54
20149,38.37
20151,27.46
20153,19.78
20155,35.25
20157,30.92
20159,33.1
20161,36.4
20163,27.38
20165,25.93
20167,30.78
20169,30.97
20171,16.64
20173,43.63
20175,20.2
20177,42.1
20179,21.79
20181,18.8
20183,28.84
20185,26.21
20187,17.01
20189,17.88
20191,37.98
20193,18.18
20195,22.4
20197,39.91
20199,20.46
20201,30.29
20203,19.11
20205,42.87
20207,46.22
20209,40.67
21001,53.41
21003,52.54
21005,49.58
21007,51.74
21009,51.61
21011,44.56
21013,50.93
21015,45.94
21017,41.95
21019,43.6
21021,45.6
21023,42.55
21025,50.28
21027,50.21
21029,47.47
21031,53.14
21033,55.08
21035,50.55
21037,45.21
21039,50.91
21041,47.1
21043,40.49
21045,50.36
21047,55.75
21049,45.22
21051,49.27
21053,51.91
21055,54.49
21057,52.26
21059,49.81
21061,53.47
21063,42.95
21065,49.32
21067,45.02
21069,42.94
21071,44.99
21073,47.92
21075,47.47
21077,48.66
21079,47.61
21081,47.45
21083,49.09
21085,53.99
21087,47.7
21089,36.03
21091,49.33
21093,45.03
21095,51.61
21097,42.48
21099,49.92
21101,48.42
21103,48.28
21105,48.56
21107,58.08
21109,48.32
21111,47.99
21113,47.5
21115,44.06
21117,45.74
21119,49.26
21121,50.71
21123,45.51
21125,48.02
21127,45.29
21129,49.56
21131,51.89
21133,46.85
21135,40.82
21137,47.24
21139,54.32
21141,55.91
21143,55.08
21145,50.37
21147,48.15
21149,51.89
21151,47.53
21153,46.74
21155,49.36
21157,51.6
21159,46.39
21161,42.44
21163,46.39
21165,47.39
21167,48.57
21169,50.98
21171,51.79
21173,45.23
21175,45.31
21177,53.79
21179,48.79
21181,41.97
21183,52.49
21185,48.36
21187,48.58
21189,48.67
21191,45.14
21193,51.02
21195,47.48
21197,49.66
21199,49.32
21201,41.74
21203,48.38
21205,43.62
21207,55.51
21209,44.85
21211,49.99
21213,53.89
21215,50.14
21217,49.85
21219,55.77
21221,56.05
21223,45.21
21225,50.74
21227,51.68
21229,50.07
21231,50.57
21233,55.88
21235,49.59
21237,49.39
21239,47.5
22001,75.97
22003,58.8
22005,82.06
22007,75.08
22009,57.78
22011,59.91
22013,65.57
22015,62.97
22017,60.67
22019,71.47
22021,61.21
22023,76.13
22025,55.09
22027,64.09
22029,53.74
22031,59.9
22033,78.69
22035,58.71
22037,75.81
22039,60.94
22041,56.89
22043,61.42
22045,80.51
22047,74.23
22049,68.08
22051,65.33
22053,71.56
22055,81.52
22057,71.07
22059,57.2
22061,67.43
22063,82.07
22065,61.21
22067,66.29
22069,59.68
22071,64.85
22073,70.32
22075,64.2
22077,71.11
22079,63.1
22081,62.24
22083,67.04
22085,55.88
22087,61.94
22089,67.5
22091,79.0
22093,72.96
22095,69.49
22097,75.23
22099,77.45
22101,76.59
22103,65.6
22105,81.1
22107,54.91
22109,70.75
22111,64.68
22113,82.12
22115,57.55
22117,75.63
22119,64.97
22121,74.97
22123,61.81
22125,72.75
22127,62.41
23001,42.54
23003,41.18
23005,43.67
23007,42.44
23009,42.85
23011,39.62
23013,46.64
23015,43.01
23017,41.91
23019,38.37
23021,41.26
23023,43.35
23025,41.06
23027,42.67
23029,42.5
23031,40.87
24001,36.12
24003,37.95
24005,42.46
24009,40.72
24011,42.45
24013,40.14
24015,38.07
24017,41.53
24019,43.79
24021,39.25
24023,45.05
24025,37.88
24027,42.28
24029,36.88
24031,39.04
24033,37.33
24035,38.08
24037,40.75
24039,53.88
24041,40.37
24043,33.16
24045,52.72
24047,55.64
24510,42.13
24511,35.15
25001,39.31
25003,36.94
25005,38.2
25007,41.42
25009,35.15
25011,36.62
25013,35.37
25015,35.53
25017,34.98
25019,44.01
25021,37.18
25023,36.54
25025,35.94
25027,37.72
26001,30.7
26003,40.89
26005,39.12
26007,30.02
26009,34.94
26011,32.88
26013,40.02
26015,41.34
26017,33.39
26019,30.13
26021,42.03
26023,38.19
26025,37.96
26027,42.82
26029,35.26
26031,31.98
26033,35.8
26035,33.81
26037,36.16
26039,33.22
26041,34.22
26043,31.61
26045,39.65
26047,32.96
26049,34.41
26051,33.24
26053,42.67
26055,30.64
26057,35.49
26059,37.68
26061,36.27
26063,32.89
26065,37.28
26067,39.44
26069,32.68
26071,37.07
26073,34.11
26075,37.61
26077,38.81
26079,34.41
26081,40.66
26083,36.57
26085,34.7
26087,34.54
26089,30.44
26091,33.69
26093,34.63
26095,38.63
26097,36.3
26099,35.64
26101,32.01
26103,37.78
26105,32.8
26107,36.69
26109,31.17
26111,33.36
26113,33.67
26115,33.23
26117,37.67
26119,29.77
26121,39.53
26123,37.64
26125,33.71
26127,36.94
26129,33.44
26131,38.86
26133,34.61
26135,31.08
26137,32.29
26139,38.46
26141,32.1
26143,34.53
26145,35.1
26147,34.63
26149,39.94
26151,33.61
26153,40.81
26155,35.81
26157,34.74
26159,40.09
26161,33.56
26163,35.59
26165,33.43
27001,35.13
27003,37.62
27005,28.69
27007,24.22
27009,34.09
27011,26.23
27013,46.65
27015,42.43
27017,35.46
27019,36.96
27021,28.8
27023,34.25
27025,36.46
27027,27.4
27029,23.0
27031,37.49
27033,39.74
27035,35.2
27037,38.15
27039,46.45
27041,27.33
27043,42.8
27045,48.59
27047,47.42
27049,44.15
27051,25.46
27053,38.58
27055,48.57
27057,26.32
27059,37.43
27061,30.18
