State County Code,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available
01003,87580,89.4,82.3,7.1,0.5,0.5,0.1,1.8,7.7,1.9,18.2,41.9,38.0
01015,N,N,N,N,N,N,N,N,N,2.3,16.9,43.5,37.3
01043,N,N,N,N,N,N,N,N,N,1.7,14.0,38.5,45.9
01049,N,N,N,N,N,N,N,N,N,0.9,14.4,41.9,42.8
01051,N,N,N,N,N,N,N,N,N,1.7,19.1,42.7,36.4
01055,N,N,N,N,N,N,N,N,N,1.2,17.7,37.7,43.5
01069,42925,95.9,89.4,6.5,0.0,1.0,0.2,0.7,2.2,2.8,23.1,40.5,33.7
01073,300909,94.3,84.3,10.0,0.8,1.3,0.1,0.8,2.6,2.6,23.7,41.3,32.4
01077,N,N,N,N,N,N,N,N,N,2.7,17.6,42.0,37.8
01081,74400,90.3,82.2,8.1,0.4,1.3,0.6,1.0,6.3,1.8,17.2,47.0,34.0
01083,N,N,N,N,N,N,N,N,N,0.8,11.9,38.9,48.3
01089,175464,94.8,88.7,6.1,0.0,0.6,0.0,1.1,3.5,2.0,22.0,41.8,34.2
01095,N,N,N,N,N,N,N,N,N,0.9,15.5,40.1,43.5
01097,173473,92.0,85.7,6.3,0.6,1.4,0.1,1.1,4.7,1.8,21.8,41.9,34.5
01101,101311,93.3,84.9,8.4,0.4,2.1,0.0,0.5,3.7,4.7,24.5,37.4,33.4
01103,N,N,N,N,N,N,N,N,N,0.6,12.0,44.6,42.8
01115,N,N,N,N,N,N,N,N,N,0.3,11.9,45.4,42.5
01117,103127,94.3,88.3,6.0,0.0,0.7,0.0,1.0,4.0,1.3,13.3,47.2,38.2
01121,N,N,N,N,N,N,N,N,N,1.6,22.4,37.8,38.2
01125,94960,93.3,83.5,9.8,0.2,1.3,0.4,0.4,4.3,1.1,22.3,43.9,32.8
01127,N,N,N,N,N,N,N,N,N,1.0,15.8,29.2,54.0
02020,158236,88.3,76.3,12.0,1.6,2.5,1.5,1.7,4.4,2.2,19.6,42.1,36.1
02090,52841,91.0,76.2,14.8,0.8,3.9,0.7,0.8,2.8,2.4,17.4,47.0,33.2
02170,43191,84.7,71.7,13.0,0.6,1.8,0.1,5.4,7.4,1.1,12.1,29.3,57.5
04001,19160,83.3,72.9,10.4,3.4,4.9,0.3,1.5,6.6,3.1,23.7,36.2,37.0
04003,45704,90.2,81.2,9.0,0.0,3.0,0.4,1.0,5.2,2.5,24.0,33.4,40.1
04005,62981,83.0,70.7,12.3,1.5,7.1,1.1,0.8,6.5,2.2,21.1,39.6,37.1
04013,1966927,87.3,76.2,11.1,1.9,1.4,0.8,1.7,6.8,2.8,21.7,42.7,32.8
04015,68236,93.0,81.2,11.7,0.8,1.3,0.1,1.3,3.5,2.4,18.3,41.7,37.6
04017,33005,80.7,74.6,6.0,1.2,8.1,0.5,2.4,7.2,4.9,23.1,38.8,33.2
04019,430410,86.9,76.4,10.5,2.6,1.9,1.6,1.5,5.4,3.2,24.8,41.2,30.8
04021,145575,89.9,77.1,12.8,0.2,2.0,0.1,1.8,5.9,2.3,17.1,39.2,41.4
04025,84879,87.7,76.7,11.0,0.3,2.4,0.9,1.9,6.8,1.4,18.6,43.2,36.8
04027,78190,89.3,79.7,9.6,3.4,2.3,0.4,1.9,2.6,2.5,21.0,40.3,36.2
05007,123536,93.8,85.2,8.7,0.1,1.5,0.2,0.4,4.0,1.2,17.2,45.1,36.5
05031,46687,91.4,79.5,11.9,0.2,4.3,0.2,0.0,3.8,2.5,24.0,46.1,27.4
05045,54334,92.6,83.2,9.3,0.0,2.5,0.2,1.0,3.8,1.4,19.2,41.0,38.4
05051,42086,89.2,80.6,8.6,0.0,3.8,0.1,1.2,5.8,2.5,23.3,41.1,33.0
05069,N,N,N,N,N,N,N,N,N,6.6,27.3,38.8,27.3
05085,N,N,N,N,N,N,N,N,N,1.9,14.8,55.3,27.9
05119,181380,93.2,83.7,9.5,0.9,1.4,0.1,1.0,3.4,2.5,27.2,44.7,25.6
05125,57812,96.0,83.4,12.6,0.0,0.3,0.0,0.7,3.0,0.4,13.0,45.5,41.1
05131,55486,92.8,81.9,10.9,0.3,2.1,0.1,2.8,2.0,2.2,24.4,41.5,31.8
05143,106794,91.9,79.4,12.5,0.9,2.1,0.5,0.9,3.7,7.1,20.9,42.8,29.2
05145,N,N,N,N,N,N,N,N,N,1.7,16.9,48.9,32.5
06001,766267,70.5,59.9,10.6,15.1,3.3,2.4,1.6,7.2,4.8,22.5,37.8,34.9
06007,89972,85.7,74.7,11.0,1.3,2.6,3.9,0.7,5.7,2.9,16.1,41.0,40.0
06013,535228,79.1,67.5,11.6,10.4,2.2,0.6,1.5,6.2,2.1,15.7,40.8,41.4
