Location ID,Location,Value,Rank,1901-2000 Mean,Anomaly (1901-2000 base period)
01001,Autauga County,66.1,120,63.9,2.2
01003,Baldwin County,68.9,122,66.8,2.1
01005,Barbour County,66.9,119,64.8,2.1
01007,Bibb County,64.6,115,62.8,1.8
01009,Blount County,63.9,123,60.6,3.3
01011,Bullock County,66.8,123,64.1,2.7
01013,Butler County,66.5,117,64.6,1.9
01015,Calhoun County,64.4,123,61.0,3.4
01017,Chambers County,63.8,120,61.6,2.2
01019,Cherokee County,63.5,123,60.6,2.9
01021,Chilton County,64.1,111,62.7,1.4
01023,Choctaw County,66.3,117,64.5,1.8
01025,Clarke County,66.9,118,64.9,2.0
01027,Clay County,63.3,121,60.7,2.6
01029,Cleburne County,63.5,123,59.9,3.6
01031,Coffee County,67.2,117,65.4,1.8
01033,Colbert County,62.4,121,59.9,2.5
01035,Conecuh County,66.9,114,65.4,1.5
01037,Coosa County,64.4,119,62.3,2.1
01039,Covington County,67.0,113,65.5,1.5
01041,Crenshaw County,66.4,117,64.4,2.0
01043,Cullman County,63.0,122,60.3,2.7
01045,Dale County,67.6,119,65.7,1.9
01047,Dallas County,66.5,121,64.3,2.2
01049,DeKalb County,61.8,122,59.3,2.5
01051,Elmore County,66.4,122,63.8,2.6
01053,Escambia County,67.6,116,65.9,1.7
01055,Etowah County,64.0,123,60.8,3.2
01057,Fayette County,64.2,120,62.0,2.2
01059,Franklin County,62.2,121,59.9,2.3
01061,Geneva County,67.9,117,66.1,1.8
01063,Greene County,65.6,116,63.9,1.7
01065,Hale County,65.5,116,63.7,1.8
01067,Henry County,67.7,118,65.7,2.0
01069,Houston County,68.2,117,66.4,1.8
01071,Jackson County,61.9,122,59.4,2.5
01073,Jefferson County,64.6,121,61.8,2.8
01075,Lamar County,64.5,120,62.1,2.4
01077,Lauderdale County,62.2,122,59.5,2.7
01079,Lawrence County,62.2,120,60.1,2.1
01081,Lee County,64.9,117,63.0,1.9
01083,Limestone County,62.9,123,59.9,3.0
01085,Lowndes County,67.2,122,64.6,2.6
01087,Macon County,66.4,121,64.0,2.4
01089,Madison County,63.0,123,60.0,3.0
01091,Marengo County,66.1,116,64.3,1.8
01093,Marion County,62.8,118,60.7,2.1
01095,Marshall County,63.2,122,60.3,2.9
01097,Mobile County,68.5,121,66.4,2.1
01099,Monroe County,67.2,119,65.2,2.0
01101,Montgomery County,67.5,123,64.5,3.0
01103,Morgan County,62.9,122,60.2,2.7
01105,Perry County,65.6,119,63.6,2.0
01107,Pickens County,65.3,119,63.1,2.2
01109,Pike County,66.7,116,64.7,2.0
01111,Randolph County,63.2,122,60.4,2.8
01113,Russell County,65.8,113,64.2,1.6
01115,St. Clair County,64.4,123,61.2,3.2
01117,Shelby County,64.4,120,62.1,2.3
01119,Sumter County,65.7,116,64.0,1.7
01121,Talladega County,64.4,121,61.8,2.6
01123,Tallapoosa County,64.4,121,62.2,2.2
01125,Tuscaloosa County,65.1,116,63.0,2.1
01127,Walker County,63.9,121,61.6,2.3
01129,Washington County,67.3,118,65.3,2.0
