State County Code,AQI,ALAND,AWATER,INTPTLAT,INTPTLONG,PCP,TEMP,WIND,Region,Personal income (thousands of dollars),Population (persons),Per capita personal income (dollars),Construction,Manufacturing,Wholesale trade,Retail trade,Information,"Professional scientific and technical services",Administrative and support and waste management and remediation services,Other services (except government and government enterprises),Farm earnings Forestry Fishing Mining Quarrying Oil Gas extraction,Finance Insurance Real estate Rental Leasing,Arts Entertainment Recreation Accommodation Food services,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,State Code,County Code,AQI Label
1003,37.50537634408602,4117584019,1133130502,30.659218,-87.74606700000001,58.19,68.9,,5.0,8610692.0,208563.0,41286.0,359523.0,252033.0,180715.0,490998.0,20283.0,196570.0,133523.0,230648.0,29425.0,277063.0,397128.0,87580.0,89.4,82.3,7.1,0.5,0.5,0.1,1.8,7.7,1.9,18.2,41.9,38.0,1,3,0
1027,30.62068965517241,1564252455,5284573,33.2704,-85.863525,40.91,63.3,,5.0,451335.0,13492.0,33452.0,7824.0,84138.0,,10051.0,704.0,2078.0,,9598.0,13256.0,6349.0,,,,,,,,,,,,,,,1,27,0
1033,37.872340425531924,1534878514,80030048,34.703112,-87.801457,44.01,62.4,,5.0,1974679.0,54216.0,36422.0,120668.0,439426.0,62357.0,121286.0,7573.0,23316.0,50670.0,59662.0,12010.0,57092.0,34707.0,,,,,,,,,,,,,,1,33,0
1049,41.0028735632184,2012664315,4121538,34.460929,-85.80399200000001,41.74,61.8,,5.0,2099352.0,70900.0,29610.0,62869.0,328519.0,,86455.0,12206.0,23480.0,27518.0,58819.0,32492.02,26594.0,37517.0,,,,,,,,,,0.9,14.4,41.9,42.8,1,49,1
1051,40.042735042735046,1601876534,99850740,32.597229,-86.142735,44.9,66.4,,5.0,3208675.0,81799.0,39226.0,83540.0,173085.0,13922.0,115140.0,8652.0,43005.0,23392.0,68672.0,239.02,46599.0,58508.0,,,,,,,,,,1.7,19.1,42.7,36.4,1,51,1
1055,52.61931818181818,1386379575,34562865,34.047641,-86.034263,37.68,64.0,,5.0,3582781.0,102564.0,34932.0,100353.0,307315.0,59271.0,163740.0,18655.0,51237.0,106570.0,103750.0,9255.0,97842.0,83624.0,,,,,,,,,,1.2,17.7,37.7,43.5,1,55,1
1069,35.11071428571429,1501846955,4691549,31.158193,-85.296398,55.15,68.2,,5.0,4091547.0,104056.0,39321.0,134972.0,196246.0,193461.0,291069.0,34656.0,100772.0,90090.0,123682.0,22958.02,121875.0,110139.0,42925.0,95.9,89.4,6.5,0.0,1.0,0.2,0.7,2.2,2.8,23.1,40.5,33.7,1,69,0
1073,52.475409836065566,2878224117,32446239,33.553444,-86.896536,38.78,64.6,1.7332294900849836,5.0,32571200.0,659521.0,49386.0,1833875.0,1847026.0,1819478.0,1407283.0,542207.0,2502224.0,889849.0,969422.0,106763.0,2995847.0,898322.0,300909.0,94.3,84.3,10.0,0.8,1.3,0.1,0.8,2.6,2.6,23.7,41.3,32.4,1,73,1
1079,26.19491525423729,1788846347,68687359,34.529776,-87.321865,44.38,62.2,,5.0,1038715.0,33244.0,31245.0,27847.0,8362.0,5844.0,26456.0,,5154.0,11535.0,,-1332.98,14117.0,,,,,,,,,,,,,,,1,79,0
1089,37.934718100890215,2076157081,28765532,34.764238,-86.55108,47.63,63.0,,5.0,16811249.0,356967.0,47095.0,439219.0,1822513.0,432624.0,772633.0,162430.0,3729655.0,667278.0,361929.0,-2264.98,523431.0,397815.0,175464.0,94.8,88.7,6.1,0.0,0.6,0.0,1.1,3.5,2.0,22.0,41.8,34.2,1,89,0
1097,41.36338797814208,3184131335,1073840930,30.684571999999996,-88.196568,58.68,68.5,,5.0,14913762.0,414836.0,35951.0,809052.0,1783325.0,603186.0,769773.0,119105.0,910278.0,495074.0,574163.0,109257.0,856531.0,369335.0,173473.0,92.0,85.7,6.3,0.6,1.4,0.1,1.1,4.7,1.8,21.8,41.9,34.5,1,97,1
1101,42.088154269972456,2031491982,40270068,32.202881,-86.204461,43.87,67.5,,5.0,9371752.0,226349.0,41404.0,393685.0,938404.0,360503.0,487903.0,129359.0,714331.0,362045.0,366952.0,48793.0,529463.0,267837.0,101311.0,93.3,84.9,8.4,0.4,2.1,0.0,0.5,3.7,4.7,24.5,37.4,33.4,1,101,1
1103,40.56712328767123,1500534814,51006061,34.454484,-86.846402,42.58,62.9,,5.0,4373175.0,119012.0,36746.0,226908.0,975680.0,119874.0,189372.0,17572.0,121321.0,103675.0,119540.0,34997.0,114126.0,96246.0,,,,,,,,,,0.6,12.0,44.6,42.8,1,103,1
1113,43.59143968871595,1660580843,15637637,32.289811,-85.18698,37.59,65.8,,5.0,1757626.0,58172.0,30214.0,46833.0,183326.0,11187.0,68243.0,,11091.0,17779.0,,14463.0,37281.0,31614.0,,,,,,,,,,,,,,1,113,1
1117,43.282786885245905,2034096244,62561221,33.263042999999996,-86.678089,39.33,64.4,,5.0,10619769.0,210622.0,50421.0,490412.0,371199.0,660735.0,464187.0,109916.0,604648.0,271248.0,296734.0,61833.0,1183509.0,220352.0,103127.0,94.3,88.3,6.0,0.0,0.7,0.0,1.0,4.0,1.3,13.3,47.2,38.2,1,117,1
1119,33.25,2341062860,24430682,32.597481,-88.200057,41.34,65.7,,5.0,402224.0,13040.0,30845.0,5952.0,22245.0,,6774.0,,,,,36407.01,3794.0,4576.0,,,,,,,,,,,,,,1,119,0
1121,35.29059829059829,1908244133,60939223,33.369314,-86.17593000000001,38.68,64.4,,5.0,2577047.0,80103.0,32172.0,65949.0,770324.0,40201.0,83941.0,10724.0,37676.0,86843.0,67576.0,1861.02,37482.0,50093.0,,,,,,,,,,1.6,22.4,37.8,38.2,1,121,0
1125,46.11780821917807,3423128150,76596461,33.29022,-87.52278299999999,41.1,65.1,,5.0,7400844.0,206102.0,35909.0,305443.0,1169832.0,162225.0,342601.0,52031.0,272872.0,227924.0,177019.0,113826.0,277022.0,231865.0,94960.0,93.3,83.5,9.8,0.2,1.3,0.4,0.4,4.3,1.1,22.3,43.9,32.8,1,125,1
2013,10.663865546218489,18083191614,20792944391,55.24504399999999,-161.997477,,,,8.0,198697.0,3296.0,60284.0,,144778.0,,1905.0,435.0,,,,139.01,,,,,,,,,,,,,,,,2,13,0
2020,34.908587257617725,4420091935,663038187,61.17425,-149.284329,,,,8.0,18582292.0,298192.0,62317.0,942627.0,146814.0,383163.0,829725.0,409927.0,1193701.0,486807.0,476777.0,888797.0,799308.0,659253.0,158236.0,88.3,76.3,12.0,1.6,2.5,1.5,1.7,4.4,2.2,19.6,42.1,36.1,2,20,0
2068,31.29888268156425,33016120972,66068782,63.68110600000001,-150.026544,,,1.9391644958448748,8.0,135801.0,1953.0,69535.0,,897.0,,1305.0,94.0,12745.0,,,107.01,,54568.0,,,,,,,,,,,,,,2,68,0
2090,55.18306010928962,19019056192,275185416,64.692317,-146.601733,,,1.301766303571428,8.0,5397187.0,100605.0,53647.0,392927.0,44185.0,,210167.0,36846.0,117389.0,,101086.0,128283.01,110466.0,141543.0,52841.0,91.0,76.2,14.8,0.8,3.9,0.7,0.8,2.8,2.4,17.4,47.0,33.2,2,90,1
2110,25.57049180327869,6998163331,1429463661,58.37291,-134.17844499999998,,,,8.0,2047751.0,32468.0,63070.0,102017.0,20475.0,,84251.0,18655.0,69293.0,30039.0,55877.0,592.02,55106.0,55422.0,,,,,,,,,,,,,,2,110,0
2122,8.057377049180328,41634269789,22473670260,60.366668000000004,-152.322283,,,,8.0,2965755.0,58506.0,50691.0,124476.0,93877.0,17854.0,110203.0,16193.0,54563.0,15731.0,57429.0,190048.0,62590.0,89530.0,,,,,,,,,,,,,,2,122,0
2170,36.41803278688525,63734270600,1682660537,62.279075,-149.61756200000002,,,,8.0,4683902.0,104365.0,44880.0,349133.0,17311.0,12909.0,184087.0,40653.0,68827.0,40091.0,89316.0,31878.0,68279.0,82570.0,43191.0,84.7,71.7,13.0,0.6,1.8,0.1,5.4,7.4,1.1,12.1,29.3,57.5,2,170,0
4001,14.371584699453551,29001298904,54174161,35.385084,-109.490172,11.87,52.1,,6.0,2174105.0,73112.0,29737.0,15945.0,6192.0,,,10952.0,8815.0,12065.0,20028.0,16717.0,22696.0,25596.0,19160.0,83.3,72.9,10.4,3.4,4.9,0.3,1.5,6.6,3.1,23.7,36.2,37.0,4,1,0
4003,46.002732240437155,15966175635,137024922,31.840128999999997,-109.77516299999999,15.75,62.6,5.372108082644624,6.0,4900244.0,125770.0,38962.0,97568.0,36062.0,24800.0,157946.0,29738.0,186648.0,95253.0,75391.0,113050.0,81277.0,83658.0,45704.0,90.2,81.2,9.0,0.0,3.0,0.4,1.0,5.2,2.5,24.0,33.4,40.1,4,3,1
4005,46.068306010928964,48222118167,110085802,35.829692,-111.773728,14.23,54.4,5.1122902459016375,6.0,5926226.0,140908.0,42057.0,165475.0,402152.0,60646.0,267459.0,28153.0,109751.0,64343.0,126250.0,15964.0,168556.0,481526.0,62981.0,83.0,70.7,12.3,1.5,7.1,1.1,0.8,6.5,2.2,21.1,39.6,37.1,4,5,1
4007,88.78415300546447,12323144911,97121333,33.789618,-110.81187,17.93,61.7,,6.0,1943756.0,53556.0,36294.0,47421.0,101739.0,8972.0,60032.0,12720.0,,13811.0,26809.0,89248.0,16956.0,49112.0,,,,,,,,,,,,,,4,7,1
4012,42.08219178082192,11653980563,36567994,33.72761,-114.03880600000001,5.39,73.6,,6.0,645687.0,20317.0,31781.0,6833.0,7596.0,,33641.0,8381.0,5953.0,3975.0,,17273.01,2840.01,,,,,,,,,,,,,,,4,12,1
4013,69.77322404371584,23825796441,64389075,33.346540999999995,-112.495534,7.66,72.7,3.3516581353501427,6.0,185111698.0,4242997.0,43628.0,8198717.0,11185758.0,8010665.0,10200566.0,3673216.0,12192372.0,9577673.0,4825472.0,1030455.0,16930339.0,6934920.0,1966927.0,87.3,76.2,11.1,1.9,1.4,0.8,1.7,6.8,2.8,21.7,42.7,32.8,4,13,1
4015,21.123249299719888,34475567011,387344307,35.717705,-113.74968899999999,12.64,64.1,,6.0,6166757.0,205249.0,30045.0,165023.0,175474.0,50204.0,325881.0,40762.0,95209.0,100724.0,138365.0,11330.0,126539.0,198236.0,68236.0,93.0,81.2,11.7,0.8,1.3,0.1,1.3,3.5,2.4,18.3,41.7,37.6,4,15,0
4017,42.72677595628414,25770094276,24078111,35.390785,-110.321025,10.88,53.6,7.245876505464483,6.0,3235693.0,110026.0,29408.0,109314.0,13165.0,15333.0,138818.0,85014.0,28028.0,26367.0,53271.0,64487.0,39545.0,85587.0,33005.0,80.7,74.6,6.0,1.2,8.1,0.5,2.4,7.2,4.9,23.1,38.8,33.2,4,17,1
4019,52.87431693989071,23794775138,5273054,32.128523,-111.783027,10.82,69.5,4.691035702954046,6.0,40182115.0,1016206.0,39541.0,1119836.0,2581120.0,612545.0,1601926.0,450784.0,1836611.0,1238651.0,1037091.0,244519.0,1435217.0,1169228.0,430410.0,86.9,76.4,10.5,2.6,1.9,1.6,1.5,5.4,3.2,24.8,41.2,30.8,4,19,1
4021,75.94808743169398,13897482645,22320992,32.919038,-111.367005,10.21,70.7,6.372620677595631,6.0,11689781.0,418540.0,27930.0,189884.0,231191.0,109557.0,300497.0,36513.0,108527.0,276452.0,207645.0,277423.0,134912.0,156138.0,145575.0,89.9,77.1,12.8,0.2,2.0,0.1,1.8,5.9,2.3,17.1,39.2,41.4,4,21,1
4023,39.86776859504132,3203613249,3088046,31.525733000000002,-110.845228,19.18,62.3,,6.0,1611877.0,45985.0,35052.0,25212.0,28618.0,194285.0,88085.0,4364.0,24969.0,17033.0,33732.0,18570.0,30335.0,32612.0,,,,,,,,,,,,,,4,23,1
4025,41.704871060171925,21039796334,11501575,34.631212,-112.577385,16.68,61.2,,6.0,8199948.0,225562.0,36353.0,301677.0,220080.0,151162.0,347197.0,51158.0,152459.0,102835.0,199276.0,106419.0,194803.0,296614.0,84879.0,87.7,76.7,11.0,0.3,2.4,0.9,1.9,6.8,1.4,18.6,43.2,36.8,4,25,1
