State County Code,AQI,ALAND,AWATER,INTPTLAT,INTPTLONG,PCP,TEMP,WIND,County Name,Region,Personal income (thousands of dollars),Population (persons) 2/,Per capita personal income (dollars),Earnings by place of work,Less: Contributions for government social insurance 3/,Employee and self-employed contributions for government social insurance,Employer contributions for government social insurance,Plus: Adjustment for residence 4/,Equals: Net earnings by place of residence,"Plus: Dividends, interest, and rent 5/",Plus: Personal current transfer receipts,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 6/,Proprietors' income 7/,Farm proprietors' income,Nonfarm proprietors' income,Farm earnings,Nonfarm earnings,Private nonfarm earnings,"Forestry, fishing, and related activities",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Mining (except oil and gas),Support activities for mining,Utilities,Construction,Construction of buildings,Heavy and civil engineering construction,Specialty trade contractors,Manufacturing,Durable goods manufacturing,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing",Other transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods manufacturing,Food manufacturing,Beverage and tobacco product manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Paper manufacturing,Printing and related support activities,Petroleum and coal products manufacturing,Chemical manufacturing,Plastics and rubber products manufacturing,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Furniture and home furnishings stores,Electronics and appliance stores,Building material and garden equipment and supplies dealers,Food and beverage stores,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Miscellaneous store retailers,Nonstore retailers,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation,Support activities for transportation,Couriers and messengers,Warehousing and storage,Information,Publishing industries (except Internet),Motion picture and sound recording industries,Broadcasting (except Internet),Internet publishing and broadcasting 8/,Telecommunications,"Data processing, hosting, and related services",Other information services 8/,Finance and insurance,Monetary Authorities-central bank,Credit intermediation and related activities,"Securities, commodity contracts, and other financial investments and related activities",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services,Lessors of nonfinancial intangible assets (except copyrighted works),"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Administrative and support services,Waste management and remediation services,Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, and recreation","Performing arts, spectator sports, and related industries","Museums, historical sites, and similar institutions","Amusement, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,Other services (except government and government enterprises),Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Government and government enterprises,Federal civilian,Military,State and local,State government,Local government,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available
1003,37.50537634408602,4117584019.0,1133130502.0,30.659218,-87.74606700000001,58.19,68.9,,"Baldwin, AL",5.0,8610692,208563,41286,3827243,473236,276033,197203,1713723,5067730,1684738,1858224,2670532,618262,421059,538449,-1134,539583,9206,3818037,3268062,12020,,,11348,8199,,1877,,30220,359523,110749,46011,202763,252033,201994,19431,9891,1097,20373,28474,,,872,,32240,29970,50039,11207,,52,6499,,,15996,4028,567,5876,3740,180715,490998,103744,19652,13796,47674,59059,35664,34646,44018,16448,89154,20062,7081,96458,,2307,778,27707,1002,55,2401,29860,,22914,20283,2350,2610,4448,,7453,2169,1253,142548,0,65476,,55800,,134515,114111,,,196570,23876,133523,128630,4893,61639,497166,281727,,60153,,42990,,,20552,354138,76961,277177,230648,66851,63590,92635,7572,549975,30097,29827,490051,64645,425406,87580,89.4,82.3,7.1,0.5,0.5,0.1,1.8,7.7,1.9,18.2,41.9,38.0
1027,30.62068965517241,1564252455.0,5284573.0,33.2704,-85.863525,40.91,63.3,,"Clay, AL",5.0,451335,13492,33452,207655,25914,15686,10228,66156,247897,64545,138893,138041,38668,28440,30946,8992,21954,9587,198068,152495,3774,,,,-105,,-216,97,,7824,1938,1419,4467,84138,64906,566,,,,,,,,,62986,,19232,,,,,,,,,,,,,10051,1804,,,777,2360,1829,1272,,131,,,,4740,,,,,,,,620,,-87,704,,,,,,,,5555,0,3604,,1952,,794,,,,2078,,,,0,,,5429,665,,965,,,0,,,,,9598,1690,2589,,,45573,4126,1758,39689,2836,36853,,,,,,,,,,,,,
1033,37.872340425531924,1534878514.0,80030048.0,34.703112,-87.801457,44.01,62.4,,"Colbert, AL",5.0,1974679,54216,36422,1501026,185012,101401,83611,-205575,1110439,294026,570214,1097147,289181,205570,114698,-1679,116377,622,1500404,1184156,2192,,,,9196,152,,,,120668,25829,34879,59960,439426,326761,24753,2363,,20889,17332,,,,63478,2149,4617,112665,3815,,,,0,,,1164,,18375,30797,62357,121286,34802,1162,4545,10622,10881,10795,11007,3427,5344,14974,4097,9630,,,30360,,14673,,,,5557,8566,,7573,,,,,,58,85,47030,0,34257,,,,10062,6456,3553,53,23316,5445,50670,,,1932,123751,85730,,14147,,3794,,,3211,30913,1699,29214,59662,18064,16307,24916,375,316248,95143,7140,213965,36221,177744,,,,,,,,,,,,,
1049,41.0028735632184,2012664315.0,4121538.0,34.460929,-85.80399200000001,41.74,61.8,,"DeKalb, AL",5.0,2099352,70900,29610,1118945,139429,80696,58733,187936,1167452,298425,633475,782946,207231,148498,128768,23947,104821,32492,1086453,909190,,,,12005,,,,,,62869,,,40274,328519,229382,4998,1163,,76908,32406,,,73066,64,2917,,99137,,,6098,,33443,614,,1396,,,,,86455,16114,4725,,10836,8771,13365,9459,1136,,13711,1908,4086,56823,,2182,,23521,182,82,,3635,,,12206,,349,,,,55,,23038,0,15650,950,6374,64,3556,4003,696,-1143,23480,2122,27518,26627,891,3059,118511,56655,,28696,,1011,,0,,36506,6934,29572,58819,15342,14289,28346,842,177263,12375,9314,155574,28246,127328,,,,,,,,,,0.9,14.4,41.9,42.8
1051,40.042735042735046,1601876534.0,99850740.0,32.597229,-86.142735,44.9,66.4,,"Elmore, AL",5.0,3208675,81799,39226,1058122,132670,78263,54407,1078839,2004291,498080,706304,728876,197269,142862,131977,-1877,133854,239,1057883,806031,,6122,-80,,,,,,13385,83540,18370,11146,54024,173085,162091,2471,2304,,16483,,,,-187,55220,,4337,10994,318,,,,,,,1484,117,,,13922,115140,20766,2349,3335,16099,11477,9590,6407,958,6126,33105,2261,2667,17182,,,,9746,136,,,5319,,,8652,1623,,,,5655,69,101,30256,0,21788,,,79,16343,12953,3310,80,43005,3886,23392,,,16668,101841,38749,,22341,,6089,,,5352,52419,6577,45842,68672,17936,17687,31751,1298,251852,11681,10151,230020,68175,161845,,,,,,,,,,1.7,19.1,42.7,36.4
1055,52.61931818181818,1386379575.0,34562865.0,34.047641,-86.034263,37.68,64.0,,"Etowah, AL",5.0,3582781,102564,34932,1933979,245223,142124,103099,266814,1955570,529860,1097351,1382018,343473,240374,208488,3286,205202,4279,1929700,1635357,2325,,,,2651,,2459,167,18409,100353,18923,25143,56287,307315,93114,637,,6849,34784,12181,,-72,35677,-66,1922,,214201,54955,,,,,,,310,,,155226,59271,163740,36245,3575,4415,13089,20224,20524,11327,5950,6471,32471,5103,4346,66402,,3452,,37398,,98,,,7842,9323,18655,3083,,1326,,12836,,,70658,0,35407,,25256,,27184,20010,7033,141,51237,6391,106570,102904,3666,5830,440992,228983,144315,50813,16881,7720,,,5741,75904,6162,69742,103750,28783,31439,41530,1998,294343,28267,13350,252726,47741,204985,,,,,,,,,,1.2,17.7,37.7,43.5
1069,35.11071428571429,1501846955.0,4691549.0,31.158193,-85.296398,55.15,68.2,,"Houston, AL",5.0,4091547,104056,39321,2802106,331104,182856,148248,-90949,2380053,710850,1000644,2038885,507634,359386,255587,19419,236168,22958,2779148,2239659,,,,5329,,1140,,2543,,134972,45702,16064,73206,196246,93352,,4194,,40144,7296,,,,,4373,17223,102894,55973,,,11978,,220,,2455,462,,,193461,291069,78730,10058,9936,32117,31438,21205,13866,14031,9074,47243,11526,11845,,,5006,,78802,,50,,12464,12063,3150,34656,7595,,,,13235,,1358,88963,0,54834,,19653,,32912,24214,8557,141,100772,10396,90090,85029,5061,21674,513350,346258,111087,33335,22670,10795,,,9878,99344,10346,88998,123682,38547,37427,44594,3114,539489,28047,17519,493923,59845,434078,42925,95.9,89.4,6.5,0.0,1.0,0.2,0.7,2.2,2.8,23.1,40.5,33.7
1073,52.475409836065566,2878224117.0,32446239.0,33.553444,-86.896536,38.78,64.6,1.7332294900849836,"Jefferson, AL",5.0,32571200,659521,49386,27538598,3125868,1729641,1396227,-4266166,20146564,6523953,5900683,19609219,4409053,3012826,3520326,2153,3518173,3060,27535538,23140231,4305,,,,99398,,43879,,712499,1833875,619189,242549,972137,1847026,1301271,8778,61324,490678,253013,105351,25583,64466,,,33385,122239,545755,126909,132981,,2615,1093,,,75844,65122,46024,84274,1819478,1407283,334852,44566,63022,111695,155290,139083,62335,99453,54363,247331,66065,29228,869858,19182,142776,,390128,24963,,,54319,,115171,542207,105866,17330,70125,,322873,23960,2053,2490450,,1105902,339064,1037939,,505397,384189,116754,4454,2502224,808983,889849,826193,63656,291451,4648204,2746202,1444306,240688,217008,136900,43097,15587,78216,761422,108244,653178,969422,350487,221250,369135,28550,4395307,853112,131839,3410356,1691906,1718450,300909,94.3,84.3,10.0,0.8,1.3,0.1,0.8,2.6,2.6,23.7,41.3,32.4
1079,26.19491525423729,1788846347.0,68687359.0,34.529776,-87.321865,44.38,62.2,,"Lawrence, AL",5.0,1038715,33244,31245,263609,38800,25789,13011,375096,599905,121421,317389,176761,49732,36721,37116,-5484,42600,-1333,264942,193245,,,,4630,,59,,396,14199,27847,7294,3053,17500,8362,3727,,,,3088,,,,,,,,4635,,,,,,,,,138,,53,5844,26456,2024,,440,3184,1634,3161,3223,973,,,384,,7910,,,,7060,91,,,1166,-156,-361,,,-99,75,,,-101,-78,12717,0,4461,,8260,,1400,1301,89,,5154,-204,11535,,,,,8442,,,,,,0,,,,8326,,5327,7103,,1002,71697,7479,4387,59831,8835,50996,,,,,,,,,,,,,
1089,37.934718100890215,2076157081.0,28765532.0,34.764238,-86.55108,47.63,63.0,,"Madison, AL",5.0,16811249,356967,47095,15183071,1793315,911762,881553,-2523224,10866532,3273189,2671528,11669537,2790007,1908454,723527,-5897,729424,-2265,15185336,10842166,,,0,,,462,,,,439219,124844,67038,247337,1822513,1613844,7357,64088,29003,129856,44362,438113,15691,196086,659764,4644,24880,208669,3633,3109,,,-112,-79,17615,12099,,105575,57732,432624,772633,162742,29941,36043,76665,93986,57099,31422,32255,49910,157276,32427,12867,,,4858,,40810,8860,71,,48260,28194,8897,162430,34214,5675,30048,,64541,,,320310,0,184537,,77821,,203121,165523,,,3729655,79329,667278,651692,15586,135563,1142712,838998,134020,110559,59135,54108,,,26596,343707,33556,310151,361929,91979,105862,153944,10144,4343170,2552027,190729,1600414,277551,1322863,175464,94.8,88.7,6.1,0.0,0.6,0.0,1.1,3.5,2.0,22.0,41.8,34.2
